drug_internal_id,drug_id,drug_name,warning_type,warning_class,warning_description,efo_id,efo_term,warning_year,warning_country
123693,CHEMBL1034,DICLOFENAC SODIUM,Black Box Warning,neurotoxicity,,,,,United States
123693,CHEMBL1034,DICLOFENAC SODIUM,Black Box Warning,cardiotoxicity,,,,,United States
123693,CHEMBL1034,DICLOFENAC SODIUM,Black Box Warning,musculoskeletal toxicity,,,,,United States
13590,CHEMBL105,MITOMYCIN,Black Box Warning,hematological toxicity,,,,,United States
13590,CHEMBL105,MITOMYCIN,Black Box Warning,nephrotoxicity,,,,,United States
176495,CHEMBL106258,AMINOREX,Withdrawn,respiratory toxicity,Pulmonary hypertension,EFO:0001361,pulmonary arterial hypertension,1967.0,Germany
139045,CHEMBL1069,VALSARTAN,Black Box Warning,teratogenicity,,,,,United States
139045,CHEMBL1069,VALSARTAN,Black Box Warning,cardiotoxicity,,,,,United States
139210,CHEMBL1070,NABUMETONE,Black Box Warning,gastrointestinal toxicity,,,,,United States
139210,CHEMBL1070,NABUMETONE,Black Box Warning,neurotoxicity,,,,,United States
139210,CHEMBL1070,NABUMETONE,Black Box Warning,cardiotoxicity,,,,,United States
139225,CHEMBL1071,OXAPROZIN,Black Box Warning,cardiotoxicity,,,,,United States
139225,CHEMBL1071,OXAPROZIN,Black Box Warning,neurotoxicity,,,,,United States
139225,CHEMBL1071,OXAPROZIN,Black Box Warning,gastrointestinal toxicity,,,,,United States
139281,CHEMBL1072,BUMETANIDE,Black Box Warning,nephrotoxicity,,,,,United States
139281,CHEMBL1072,BUMETANIDE,Black Box Warning,,,,,,United States
15086,CHEMBL108,CARBAMAZEPINE,Black Box Warning,hematological toxicity,,,,,United States
15086,CHEMBL108,CARBAMAZEPINE,Black Box Warning,dermatological toxicity,,,,,United States
15086,CHEMBL108,CARBAMAZEPINE,Black Box Warning,gastrointestinal toxicity,,,,,United States
631502,CHEMBL1082607,SALMETEROL XINAFOATE,Black Box Warning,respiratory toxicity,,,,,United States
630396,CHEMBL1083385,CLOPIDOGREL BISULFATE,Black Box Warning,,,,,,United States
630439,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,Black Box Warning,cardiotoxicity,,,,,United States
630439,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,Black Box Warning,respiratory toxicity,,,,,United States
630439,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,Black Box Warning,hepatotoxicity,,,,,United States
630439,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,Black Box Warning,musculoskeletal toxicity,,,,,United States
630439,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,Black Box Warning,nephrotoxicity,,,,,United States
630439,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,Black Box Warning,dermatological toxicity,,,,,United States
621308,CHEMBL1089221,BENDAZAC,Withdrawn,hepatotoxicity,Hepatotoxicity,EFO:0011052,hepatotoxicity,1993.0,Spain
621308,CHEMBL1089221,BENDAZAC,Withdrawn,hepatotoxicity,Hepatotoxicity,EFO:0004228,drug-induced liver injury,1993.0,Spain
15217,CHEMBL109,VALPROIC ACID,Black Box Warning,hepatotoxicity,,,,,United States
15217,CHEMBL109,VALPROIC ACID,Black Box Warning,teratogenicity,,,,,United States
15217,CHEMBL109,VALPROIC ACID,Black Box Warning,gastrointestinal toxicity,,,,,United States
150451,CHEMBL1094,FELBAMATE,Black Box Warning,hematological toxicity,,,,,United States
150451,CHEMBL1094,FELBAMATE,Black Box Warning,hepatotoxicity,,,,,United States
624161,CHEMBL1096882,FLUDARABINE PHOSPHATE,Black Box Warning,neurotoxicity,,,,,United States
624161,CHEMBL1096882,FLUDARABINE PHOSPHATE,Black Box Warning,hematological toxicity,,,,,United States
624467,CHEMBL1098319,2-MERCAPTOETHANESULFONIC ACID,Withdrawn,immune system toxicity,"hypersensitivity reactions of different degrees, including slight skin eruptions up to more serious anaphylactic reactions, in patients with autoimmune conditions.",MONDO:0100053,anaphylaxis,1991.0,Germany
624467,CHEMBL1098319,2-MERCAPTOETHANESULFONIC ACID,Withdrawn,immune system toxicity,"hypersensitivity reactions of different degrees, including slight skin eruptions up to more serious anaphylactic reactions, in patients with autoimmune conditions.",EFO:1002004,drug hypersensitivity syndrome,1991.0,Germany
624467,CHEMBL1098319,2-MERCAPTOETHANESULFONIC ACID,Withdrawn,immune system toxicity,"hypersensitivity reactions of different degrees, including slight skin eruptions up to more serious anaphylactic reactions, in patients with autoimmune conditions.",EFO:0020927,skin reaction,1991.0,Germany
624467,CHEMBL1098319,2-MERCAPTOETHANESULFONIC ACID,Withdrawn,immune system toxicity,"hypersensitivity reactions of different degrees, including slight skin eruptions up to more serious anaphylactic reactions, in patients with autoimmune conditions.",EFO:0009482,drug allergy,1991.0,Germany
182928,CHEMBL110691,CHLORMADINONE ACETATE,Withdrawn,carcinogenicity,Animal carcinogenicity (dogs),EFO:0011046,carcinogenicity,1970.0,United States; United Kingdom; Italy
182928,CHEMBL110691,CHLORMADINONE ACETATE,Withdrawn,carcinogenicity,Increased incidence of breast tumours in beagle dogs during the course of long-term toxicity tests,EFO:0011046,carcinogenicity,1970.0,United States; United Kingdom; Italy
152751,CHEMBL1108,DROPERIDOL,Black Box Warning,cardiotoxicity,,,,,United States
152751,CHEMBL1108,DROPERIDOL,Withdrawn,cardiotoxicity,Serious cardiac adverse effects,EFO:1001482,cardiotoxicity,2001.0,Indonesia
16088,CHEMBL111,RIMONABANT,Withdrawn,psychiatric toxicity,"psychiatric disorders, particularly depression",MONDO:0002009,major depressive disorder,2008.0,European Union
16088,CHEMBL111,RIMONABANT,Withdrawn,psychiatric toxicity,"psychiatric disorders, particularly depression",EFO:0011059,psychiatric toxicity,2008.0,European Union
154051,CHEMBL1111,AMBRISENTAN,Black Box Warning,teratogenicity,,,,,United States
155006,CHEMBL1112,ARIPIPRAZOLE,Black Box Warning,psychiatric toxicity,,,,,United States
155006,CHEMBL1112,ARIPIPRAZOLE,Black Box Warning,,,,,,United States
155045,CHEMBL1113,AMOXAPINE,Black Box Warning,psychiatric toxicity,,,,,United States
158276,CHEMBL1116,RALOXIFENE HYDROCHLORIDE,Black Box Warning,vascular toxicity,,,,,United States
158276,CHEMBL1116,RALOXIFENE HYDROCHLORIDE,Black Box Warning,neurotoxicity,,,,,United States
158276,CHEMBL1116,RALOXIFENE HYDROCHLORIDE,Black Box Warning,respiratory toxicity,,,,,United States
158276,CHEMBL1116,RALOXIFENE HYDROCHLORIDE,Black Box Warning,cardiotoxicity,,,,,United States
158276,CHEMBL1116,RALOXIFENE HYDROCHLORIDE,Black Box Warning,gastrointestinal toxicity,,,,,United States
161281,CHEMBL1118,DESVENLAFAXINE,Black Box Warning,psychiatric toxicity,,,,,United States
16450,CHEMBL112,ACETAMINOPHEN,Black Box Warning,misuse,,,,,United States
16450,CHEMBL112,ACETAMINOPHEN,Black Box Warning,hepatotoxicity,,,,,United States
16450,CHEMBL112,ACETAMINOPHEN,Black Box Warning,nephrotoxicity,,,,,United States
16450,CHEMBL112,ACETAMINOPHEN,Black Box Warning,vascular toxicity,,,,,United States
165774,CHEMBL1123,DICYCLOMINE,Withdrawn,,Serious adverse reactions in infants under six months,EFO:0009658,adverse effect,,Norway
169652,CHEMBL1131,ACITRETIN,Black Box Warning,teratogenicity,,,,,United States
169652,CHEMBL1131,ACITRETIN,Black Box Warning,hepatotoxicity,,,,,United States
8633,CHEMBL11359,CISPLATIN,Black Box Warning,nephrotoxicity,,,,,United States
8633,CHEMBL11359,CISPLATIN,Black Box Warning,immune system toxicity,,,,,United States
8633,CHEMBL11359,CISPLATIN,Black Box Warning,respiratory toxicity,,,,,United States
8633,CHEMBL11359,CISPLATIN,Black Box Warning,hematological toxicity,,,,,United States
8633,CHEMBL11359,CISPLATIN,Black Box Warning,cardiotoxicity,,,,,United States
8633,CHEMBL11359,CISPLATIN,Black Box Warning,gastrointestinal toxicity,,,,,United States
8633,CHEMBL11359,CISPLATIN,Black Box Warning,vascular toxicity,,,,,United States
171587,CHEMBL1136,TELITHROMYCIN,Black Box Warning,,,,,,United States
17169,CHEMBL114,SAQUINAVIR,Black Box Warning,,,,,,United States
178545,CHEMBL1141,POTASSIUM IODIDE,Black Box Warning,vascular toxicity,,,,,United States
641189,CHEMBL1159650,CLOBETASOL PROPIONATE,Black Box Warning,,,,,,United States
187962,CHEMBL1162,NORETHINDRONE,Black Box Warning,,,,,,United States
647206,CHEMBL1164729,FEBUXOSTAT,Black Box Warning,cardiotoxicity,,,,,United States
644928,CHEMBL1165342,VINCAMINE,Withdrawn,cardiotoxicity,cardia arrhythmias; risk of blood dyscrasias,EFO:0004269,cardiac arrhythmia,1980.0,Germany; Hungary
644928,CHEMBL1165342,VINCAMINE,Withdrawn,hematological toxicity,Hematological,EFO:0005803,hematologic disease,1980.0,Germany; Hungary
644928,CHEMBL1165342,VINCAMINE,Withdrawn,hematological toxicity,cardia arrhythmias; risk of blood dyscrasias,EFO:0005803,hematologic disease,1980.0,Germany; Hungary
189203,CHEMBL1168,RAMIPRIL,Black Box Warning,teratogenicity,,,,,United States
193096,CHEMBL1177,PEMOLINE,Black Box Warning,,,,,,United States
193096,CHEMBL1177,PEMOLINE,Withdrawn,hepatotoxicity,Liver toxicity,EFO:0011052,hepatotoxicity,1997.0,United States; United Kingdom; Canada
193096,CHEMBL1177,PEMOLINE,Withdrawn,hepatotoxicity,Hepatic toxicity,EFO:0004228,drug-induced liver injury,1997.0,United States; United Kingdom; Canada
193096,CHEMBL1177,PEMOLINE,Withdrawn,hepatotoxicity,Liver toxicity,EFO:0004228,drug-induced liver injury,1997.0,United States; United Kingdom; Canada
193096,CHEMBL1177,PEMOLINE,Withdrawn,hepatotoxicity,Hepatic toxicity,EFO:0011052,hepatotoxicity,1997.0,United States; United Kingdom; Canada
193281,CHEMBL117785,TETRABENAZINE,Black Box Warning,psychiatric toxicity,,,,,United States
18694,CHEMBL118,CELECOXIB,Black Box Warning,gastrointestinal toxicity,,,,,United States
18694,CHEMBL118,CELECOXIB,Black Box Warning,neurotoxicity,,,,,United States
18694,CHEMBL118,CELECOXIB,Black Box Warning,cardiotoxicity,,,,,United States
657667,CHEMBL1183717,ALMITRINE,Withdrawn,neurotoxicity,Serious and long-lasting peripheral neuropathy (damage to the nerves in the hands and feet) and significant weight loss that further weakens patients,EFO:0003100,peripheral neuropathy,2013.0,European Union
657667,CHEMBL1183717,ALMITRINE,Withdrawn,,Serious and long-lasting peripheral neuropathy (damage to the nerves in the hands and feet) and significant weight loss that further weakens patients,HP:0001824,Weight loss,2013.0,European Union
204115,CHEMBL1191,SULFAMETHIZOLE,Withdrawn,,adverse reactions and low sales,EFO:0009658,adverse effect,1984.0,Sweden
668616,CHEMBL1194666,DIETHYLPROPION,Withdrawn,drug misuse,"risk of serious side effects, such as pulmonary arterial hypertension (high blood pressure in the arteries of the lungs) and dependency. The medicines were also being used in patients with a history of heart disease or psychiatric disorders, increasing their risk of heart and psychiatric problems. In addition, there was evidence of use during pregnancy, which could pose risks to the unborn baby",,,1981.0,European Union; Sweden; United Kingdom; France
668616,CHEMBL1194666,DIETHYLPROPION,Withdrawn,drug misuse,"Lack of evidence of their value in long-term management of obesity, they have the potential for abuse and despite warnings they are frequently used over unacceptably prolonged periods",MONDO:0002491,substance abuse,1981.0,European Union; Sweden; United Kingdom; France
668616,CHEMBL1194666,DIETHYLPROPION,Withdrawn,respiratory toxicity,arterial pulmonary hypertension,EFO:0001361,pulmonary arterial hypertension,1981.0,European Union; Sweden; United Kingdom; France
668616,CHEMBL1194666,DIETHYLPROPION,Withdrawn,drug misuse,"risk of serious side effects, such as pulmonary arterial hypertension (high blood pressure in the arteries of the lungs) and dependency. The medicines were also being used in patients with a history of heart disease or psychiatric disorders, increasing their risk of heart and psychiatric problems. In addition, there was evidence of use during pregnancy, which could pose risks to the unborn baby",MONDO:0004938,substance dependence,1981.0,European Union; Sweden; United Kingdom; France
668616,CHEMBL1194666,DIETHYLPROPION,Withdrawn,respiratory toxicity,"risk of serious side effects, such as pulmonary arterial hypertension (high blood pressure in the arteries of the lungs) and dependency. The medicines were also being used in patients with a history of heart disease or psychiatric disorders, increasing their risk of heart and psychiatric problems. In addition, there was evidence of use during pregnancy, which could pose risks to the unborn baby",EFO:0001361,pulmonary arterial hypertension,1981.0,European Union; Sweden; United Kingdom; France
721,CHEMBL12,DIAZEPAM,Black Box Warning,,,,,,United States
721,CHEMBL12,DIAZEPAM,Black Box Warning,misuse,,,,,United States
674273,CHEMBL1200322,ESCITALOPRAM OXALATE,Black Box Warning,psychiatric toxicity,,,,,United States
674273,CHEMBL1200322,ESCITALOPRAM OXALATE,Black Box Warning,cardiotoxicity,,,,,United States
674273,CHEMBL1200322,ESCITALOPRAM OXALATE,Black Box Warning,gastrointestinal toxicity,,,,,United States
674279,CHEMBL1200328,DULOXETINE HYDROCHLORIDE,Black Box Warning,psychiatric toxicity,,,,,United States
674279,CHEMBL1200328,DULOXETINE HYDROCHLORIDE,Black Box Warning,cardiotoxicity,,,,,United States
674283,CHEMBL1200332,PROTRIPTYLINE HYDROCHLORIDE,Black Box Warning,psychiatric toxicity,,,,,United States
674285,CHEMBL1200334,MORICIZINE HYDROCHLORIDE,Black Box Warning,,,,,,United States
674286,CHEMBL1200335,TESTOSTERONE ENANTHATE,Black Box Warning,neurotoxicity,,,,,United States
674286,CHEMBL1200335,TESTOSTERONE ENANTHATE,Black Box Warning,cardiotoxicity,,,,,United States
674286,CHEMBL1200335,TESTOSTERONE ENANTHATE,Black Box Warning,vascular toxicity,,,,,United States
674294,CHEMBL1200343,PERINDOPRIL ERBUMINE,Black Box Warning,teratogenicity,,,,,United States
674297,CHEMBL1200346,GADODIAMIDE,Black Box Warning,misuse,,,,,United States
674297,CHEMBL1200346,GADODIAMIDE,Black Box Warning,dermatological toxicity,,,,,United States
674344,CHEMBL1200393,GREPAFLOXACIN HYDROCHLORIDE,Withdrawn,cardiotoxicity,"QTc interval prolongation on the electrocardiogram, which could put patients at risk of Torsade de Pointes",HP:0001657,Prolonged QT interval,1999.0,Singapore; Armenia; Germany; Peru; United Kingdom; United States
674344,CHEMBL1200393,GREPAFLOXACIN HYDROCHLORIDE,Withdrawn,cardiotoxicity,"QTc interval prolongation on the electrocardiogram, which could put patients at risk of Torsade de Pointes",EFO:0005307,torsades de pointes,1999.0,Singapore; Armenia; Germany; Peru; United Kingdom; United States
674344,CHEMBL1200393,GREPAFLOXACIN HYDROCHLORIDE,Withdrawn,cardiotoxicity,Severe cardiovascular event,EFO:1001482,cardiotoxicity,1999.0,Singapore; Armenia; Germany; Peru; United Kingdom; United States
674344,CHEMBL1200393,GREPAFLOXACIN HYDROCHLORIDE,Withdrawn,cardiotoxicity,"Prolongation of the QT interval giving rise to ventricular arrhythmias known as torsades de pointes; Effect of the drug on cardiac repolarization, manifested as QT interval prolongation. Some patients may be at risk of the very rare but serious ventricular arrhythmia known as torsades de pointes.",EFO:0005307,torsades de pointes,1999.0,Singapore; Armenia; Germany; Peru; United Kingdom; United States
674344,CHEMBL1200393,GREPAFLOXACIN HYDROCHLORIDE,Withdrawn,cardiotoxicity,"Effect of the drug on cardiac repolarization, manifested as QT interval prolongation. Some patients may be at risk of the very rare but serious ventricular arrhythmia known as torsades de pointes.",HP:0001657,Prolonged QT interval,1999.0,Singapore; Armenia; Germany; Peru; United Kingdom; United States
674344,CHEMBL1200393,GREPAFLOXACIN HYDROCHLORIDE,Withdrawn,cardiotoxicity,Cardiac repolarization; QTc interval prolongation,HP:0001657,Prolonged QT interval,1999.0,Singapore; Armenia; Germany; Peru; United Kingdom; United States
674344,CHEMBL1200393,GREPAFLOXACIN HYDROCHLORIDE,Withdrawn,cardiotoxicity,Cardiac repolarization; QTc interval prolongation,EFO:0020913,electrocardiogram repolarisation abnormality,1999.0,Singapore; Armenia; Germany; Peru; United Kingdom; United States
674347,CHEMBL1200396,BUPIVACAINE HYDROCHLORIDE,Black Box Warning,cardiotoxicity,,,,,United States
674347,CHEMBL1200396,BUPIVACAINE HYDROCHLORIDE,Black Box Warning,misuse,,,,,United States
674347,CHEMBL1200396,BUPIVACAINE HYDROCHLORIDE,Black Box Warning,neurotoxicity,,,,,United States
674347,CHEMBL1200396,BUPIVACAINE HYDROCHLORIDE,Black Box Warning,hematological toxicity,,,,,United States
674347,CHEMBL1200396,BUPIVACAINE HYDROCHLORIDE,Black Box Warning,vascular toxicity,,,,,United States
674351,CHEMBL1200400,AZATHIOPRINE SODIUM,Black Box Warning,carcinogenicity,,,,,United States
674351,CHEMBL1200400,AZATHIOPRINE SODIUM,Black Box Warning,hematological toxicity,,,,,United States
674351,CHEMBL1200400,AZATHIOPRINE SODIUM,Black Box Warning,immune system toxicity,,,,,United States
674351,CHEMBL1200400,AZATHIOPRINE SODIUM,Black Box Warning,teratogenicity,,,,,United States
674360,CHEMBL1200409,LIDOCAINE HYDROCHLORIDE,Black Box Warning,misuse,,,,,United States
674361,CHEMBL1200410,PROCARBAZINE HYDROCHLORIDE,Black Box Warning,,,,,,United States
674362,CHEMBL1200411,ROPINIROLE HYDROCHLORIDE,Black Box Warning,,,,,,United States
674370,CHEMBL1200419,MOLINDONE HYDROCHLORIDE,Black Box Warning,,,,,,United States
674371,CHEMBL1200420,MIDAZOLAM HYDROCHLORIDE,Black Box Warning,respiratory toxicity,,,,,United States
674371,CHEMBL1200420,MIDAZOLAM HYDROCHLORIDE,Black Box Warning,,,,,,United States
674371,CHEMBL1200420,MIDAZOLAM HYDROCHLORIDE,Black Box Warning,misuse,,,,,United States
674375,CHEMBL1200424,PENTETATE ZINC TRISODIUM,Black Box Warning,respiratory toxicity,,,,,United States
674375,CHEMBL1200424,PENTETATE ZINC TRISODIUM,Black Box Warning,,,,,,United States
674381,CHEMBL1200430,ESTRADIOL ACETATE,Black Box Warning,vascular toxicity,,,,,United States
674381,CHEMBL1200430,ESTRADIOL ACETATE,Black Box Warning,cardiotoxicity,,,,,United States
674381,CHEMBL1200430,ESTRADIOL ACETATE,Black Box Warning,neurotoxicity,,,,,United States
674381,CHEMBL1200430,ESTRADIOL ACETATE,Black Box Warning,carcinogenicity,,,,,United States
674382,CHEMBL1200431,GADOPENTETATE DIMEGLUMINE,Black Box Warning,dermatological toxicity,,,,,United States
674387,CHEMBL1200436,OXANDROLONE,Black Box Warning,hepatotoxicity,,,,,United States
674388,CHEMBL1200437,QUINIDINE GLUCONATE,Black Box Warning,cardiotoxicity,,,,,United States
674405,CHEMBL1200454,VALGANCICLOVIR HYDROCHLORIDE,Black Box Warning,teratogenicity,,,,,United States
674405,CHEMBL1200454,VALGANCICLOVIR HYDROCHLORIDE,Black Box Warning,carcinogenicity,,,,,United States
674405,CHEMBL1200454,VALGANCICLOVIR HYDROCHLORIDE,Black Box Warning,hematological toxicity,,,,,United States
674406,CHEMBL1200455,IOHEXOL,Black Box Warning,misuse,,,,,United States
674408,CHEMBL1200457,GADOVERSETAMIDE,Black Box Warning,,,,,,United States
674412,CHEMBL1200461,MIDODRINE HYDROCHLORIDE,Black Box Warning,vascular toxicity,,,,,United States
674414,CHEMBL1200463,OXAPROZIN POTASSIUM,Black Box Warning,,,,,,United States
674423,CHEMBL1200472,QUAZEPAM,Black Box Warning,,,,,,United States
674426,CHEMBL1200475,DAUNORUBICIN CITRATE,Black Box Warning,,,,,,United States
674443,CHEMBL1200492,NEFAZODONE HYDROCHLORIDE,Black Box Warning,psychiatric toxicity,,,,,United States
674443,CHEMBL1200492,NEFAZODONE HYDROCHLORIDE,Black Box Warning,hepatotoxicity,,,,,United States
674443,CHEMBL1200492,NEFAZODONE HYDROCHLORIDE,Withdrawn,hepatotoxicity,Adverse hepatic events,HP:0001399,Hepatic failure,2003.0,Canada; Spain; Turkey
674443,CHEMBL1200492,NEFAZODONE HYDROCHLORIDE,Withdrawn,hepatotoxicity,Adverse hepatic events,EFO:0011052,hepatotoxicity,2003.0,Canada; Spain; Turkey
674443,CHEMBL1200492,NEFAZODONE HYDROCHLORIDE,Withdrawn,hepatotoxicity,Adverse hepatic events,EFO:0004228,drug-induced liver injury,2003.0,Canada; Spain; Turkey
674449,CHEMBL1200498,ALATROFLOXACIN MESYLATE,Withdrawn,hepatotoxicity,Liver toxicity; Serious liver injury leading to liver transplant; Death,EFO:0011052,hepatotoxicity,2006.0,United States; European Union
674449,CHEMBL1200498,ALATROFLOXACIN MESYLATE,Withdrawn,hepatotoxicity,Liver toxicity; Serious liver injury leading to liver transplant; Death,EFO:0004228,drug-induced liver injury,2006.0,United States; European Union
674449,CHEMBL1200498,ALATROFLOXACIN MESYLATE,Withdrawn,hepatotoxicity,serious liver injury,EFO:0011052,hepatotoxicity,2006.0,United States; European Union
674449,CHEMBL1200498,ALATROFLOXACIN MESYLATE,Withdrawn,hepatotoxicity,serious liver injury,EFO:0004228,drug-induced liver injury,2006.0,United States; European Union
674458,CHEMBL1200507,IODIXANOL,Black Box Warning,misuse,,,,,United States
674468,CHEMBL1200517,DIHYDROERGOTAMINE MESYLATE,Black Box Warning,,,,,,United States
674481,CHEMBL1200530,CEFOXITIN SODIUM,Black Box Warning,,,,,,United States
674482,CHEMBL1200531,ALFENTANIL HYDROCHLORIDE,Black Box Warning,misuse,,,,,United States
674485,CHEMBL1200534,MOEXIPRIL HYDROCHLORIDE,Black Box Warning,teratogenicity,,,,,United States
674500,CHEMBL1200549,RAPACURONIUM BROMIDE,Withdrawn,respiratory toxicity,occurrence of bronchospasm,EFO:1002018,bronchial disease,2001.0,United States
674500,CHEMBL1200549,RAPACURONIUM BROMIDE,Withdrawn,respiratory toxicity,Fatal bronchospasm,EFO:1002018,bronchial disease,2001.0,United States
674507,CHEMBL1200556,DESMOPRESSIN ACETATE,Black Box Warning,metabolic toxicity,,,,,United States
674507,CHEMBL1200556,DESMOPRESSIN ACETATE,Black Box Warning,,,,,,United States
674509,CHEMBL1200558,BACITRACIN,Black Box Warning,nephrotoxicity,,,,,United States
674514,CHEMBL1200563,CERIVASTATIN SODIUM,Withdrawn,musculoskeletal toxicity,increased risk of rhabdomyolysis,EFO:0003867,rhabdomyolysis,2001.0,Worldwide
674514,CHEMBL1200563,CERIVASTATIN SODIUM,Withdrawn,nephrotoxicity,Rhabdomyolysis _ kidney failure and muscle damage,EFO:1002048,kidney failure,2001.0,Worldwide
674522,CHEMBL1200571,GADOBENATE DIMEGLUMINE,Black Box Warning,dermatological toxicity,,,,,United States
674536,CHEMBL1200585,OXYMETHOLONE,Black Box Warning,hepatotoxicity,,,,,United States
674539,CHEMBL1200588,CLINDAMYCIN HYDROCHLORIDE,Black Box Warning,gastrointestinal toxicity,,,,,United States
674539,CHEMBL1200588,CLINDAMYCIN HYDROCHLORIDE,Black Box Warning,infectious disease,,,,,United States
674544,CHEMBL1200593,GADOTERIDOL,Black Box Warning,dermatological toxicity,,,,,United States
674546,CHEMBL1200595,CHLORPHENTERMINE HYDROCHLORIDE,Withdrawn,respiratory toxicity,cases of pulmonary hypertension led to its withdrawal in several countries,EFO:0001361,pulmonary arterial hypertension,1967.0,Germany; Venezuela
674546,CHEMBL1200595,CHLORPHENTERMINE HYDROCHLORIDE,Withdrawn,cardiotoxicity,Cardiovascular,EFO:0000319,cardiovascular disease,1967.0,Germany; Venezuela
674557,CHEMBL1200606,MEXILETINE HYDROCHLORIDE,Black Box Warning,cardiotoxicity,,,,,United States
674557,CHEMBL1200606,MEXILETINE HYDROCHLORIDE,Black Box Warning,hepatotoxicity,,,,,United States
674557,CHEMBL1200606,MEXILETINE HYDROCHLORIDE,Black Box Warning,dermatological toxicity,,,,,United States
674560,CHEMBL1200609,PAROXETINE MESYLATE,Black Box Warning,psychiatric toxicity,,,,,United States
674564,CHEMBL1200613,TOLMETIN SODIUM,Black Box Warning,gastrointestinal toxicity,,,,,United States
674564,CHEMBL1200613,TOLMETIN SODIUM,Black Box Warning,neurotoxicity,,,,,United States
674564,CHEMBL1200613,TOLMETIN SODIUM,Black Box Warning,cardiotoxicity,,,,,United States
674565,CHEMBL1200614,IOVERSOL,Black Box Warning,misuse,,,,,United States
674572,CHEMBL1200621,GEMIFLOXACIN MESYLATE,Black Box Warning,,,,,,United States
674579,CHEMBL1200628,VANCOMYCIN HYDROCHLORIDE,Black Box Warning,,,,,,United States
674580,CHEMBL1200629,VECURONIUM BROMIDE,Black Box Warning,,,,,,United States
674580,CHEMBL1200629,VECURONIUM BROMIDE,Black Box Warning,carcinogenicity,,,,,United States
674583,CHEMBL1200632,CLINDAMYCIN PALMITATE HYDROCHLORIDE,Black Box Warning,gastrointestinal toxicity,,,,,United States
