drug_internal_id,drug_id,drug_name,mechanism_id,mechanism_of_action,action_type,target_internal_id,target_id,target_name,direct_interaction,molecular_mechanism,disease_efficacy,mechanism_comment,selectivity_comment
126356,CHEMBL1043,DAPSONE,1747,Dihydropteroate synthase 1 inhibitor,INHIBITOR,105705.0,CHEMBL2362993,Dihydropteroate synthase,1,1,1,,
127755,CHEMBL1046,AMINOCAPROIC ACID,86,Plasminogen inhibitor,INHIBITOR,12.0,CHEMBL1801,Plasminogen,1,1,1,,
127755,CHEMBL1046,AMINOCAPROIC ACID,336,Tissue-type plasminogen activator inhibitor,INHIBITOR,11399.0,CHEMBL1873,Tissue-type plasminogen activator,1,1,1,,
13590,CHEMBL105,MITOMYCIN,1864,DNA inhibitor,INHIBITOR,105574.0,CHEMBL2311221,DNA,1,1,1,,
132003,CHEMBL1051,LATANOPROST,642,Prostanoid FP receptor agonist,AGONIST,140.0,CHEMBL1987,Prostaglandin F2-alpha receptor,1,1,1,,
134100,CHEMBL1054,TRICHLORMETHIAZIDE,353,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR,151.0,CHEMBL1876,Solute carrier family 12 member 3,1,1,1,,
134333,CHEMBL1055,CHLORTHALIDONE,354,Thiazide-sensitive sodium-chloride cotransporter inhibitor,INHIBITOR,151.0,CHEMBL1876,Solute carrier family 12 member 3,1,1,1,,
136161,CHEMBL1059,PREGABALIN,1920,Voltage-gated calcium channel modulator,MODULATOR,105734.0,CHEMBL2363032,Voltage-gated calcium channel,1,1,1,,
13758,CHEMBL106,FLUCONAZOLE,1450,Cytochrome P450 51 inhibitor,INHIBITOR,58.0,CHEMBL1780,Lanosterol 14-alpha demethylase,1,1,1,,
136282,CHEMBL1060,"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS",8746,Saline laxative,,,,,1,1,1,Mechanism for sodium phosphate monobasic monohydrate/sodium phosphate dibasic anhydrous,
138562,CHEMBL1064,SIMVASTATIN,1059,HMG-CoA reductase inhibitor,INHIBITOR,24.0,CHEMBL402,3-hydroxy-3-methylglutaryl-coenzyme A reductase,1,1,1,,
139014,CHEMBL1068,OXCARBAZEPINE,1986,Sodium channel alpha subunit blocker,BLOCKER,105639.0,CHEMBL2331043,Sodium channel alpha subunit,1,1,1,,
139045,CHEMBL1069,VALSARTAN,222,Type-1 angiotensin II receptor antagonist,ANTAGONIST,115.0,CHEMBL227,Type-1 angiotensin II receptor,1,1,1,,
14440,CHEMBL107,COLCHICINE,1106,Tubulin inhibitor,INHIBITOR,104766.0,CHEMBL2095182,Tubulin,1,1,1,Inhibits microtubule assembly,
139210,CHEMBL1070,NABUMETONE,1460,Cyclooxygenase-2 inhibitor,INHIBITOR,126.0,CHEMBL230,Prostaglandin G/H synthase 2,1,1,1,,
139225,CHEMBL1071,OXAPROZIN,1204,Cyclooxygenase inhibitor,INHIBITOR,104725.0,CHEMBL2094253,Cyclooxygenase,1,1,1,,
139281,CHEMBL1072,BUMETANIDE,337,Sodium-(potassium)-chloride cotransporter 2 inhibitor,INHIBITOR,167.0,CHEMBL1874,Solute carrier family 12 member 1,1,1,1,,
139286,CHEMBL1073,GLIPIZIDE,1249,"Sulfonylurea receptor 1, Kir6.2 blocker",BLOCKER,104852.0,CHEMBL2096972,"Sulfonylurea receptor 1, Kir6.2",1,1,1,,
614499,CHEMBL1076903,VARENICLINE,8912,Neuronal acetylcholine receptor; alpha4/beta2 partial agonist,PARTIAL AGONIST,104283.0,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2,1,1,1,,
617563,CHEMBL1078178,MOMELOTINIB,5280,Tyrosine-protein kinase JAK1 inhibitor,INHIBITOR,10919.0,CHEMBL2835,Tyrosine-protein kinase JAK1,1,1,1,,
617563,CHEMBL1078178,MOMELOTINIB,5281,Tyrosine-protein kinase JAK2 inhibitor,INHIBITOR,10938.0,CHEMBL2971,Tyrosine-protein kinase JAK2,1,1,1,,
611647,CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,243,Epidermal growth factor receptor erbB1 inhibitor,INHIBITOR,9.0,CHEMBL203,Epidermal growth factor receptor,1,1,1,,
15086,CHEMBL108,CARBAMAZEPINE,1972,Sodium channel alpha subunit blocker,BLOCKER,105639.0,CHEMBL2331043,Sodium channel alpha subunit,1,1,1,,
143284,CHEMBL1082,AMOXICILLIN,1710,Bacterial penicillin-binding protein inhibitor,INHIBITOR,105683.0,CHEMBL2354204,Bacterial penicillin-binding protein,1,1,1,,
630886,CHEMBL1082407,ENZALUTAMIDE,1331,Androgen Receptor antagonist,ANTAGONIST,56.0,CHEMBL1871,Androgen receptor,1,1,1,,
631502,CHEMBL1082607,SALMETEROL XINAFOATE,1344,Beta-2 adrenergic receptor agonist,AGONIST,43.0,CHEMBL210,Beta-2 adrenergic receptor,1,1,1,,
630396,CHEMBL1083385,CLOPIDOGREL BISULFATE,1501,Purinergic receptor P2Y12 antagonist,ANTAGONIST,176.0,CHEMBL2001,P2Y purinoceptor 12,1,1,1,Irreversible inhibitor,
630322,CHEMBL1083659,SUVOREXANT,2285,Orexin receptor antagonist,ANTAGONIST,108439.0,CHEMBL3307226,Orexin receptor,1,1,1,,
630439,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,502,HERG blocker,BLOCKER,165.0,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,1,1,1,,
631810,CHEMBL1084172,VILANTEROL TRIFENATATE,1337,Beta-2 adrenergic receptor agonist,AGONIST,43.0,CHEMBL210,Beta-2 adrenergic receptor,1,1,1,,
8209,CHEMBL10878,AGOMELATINE,6445,Melatonin receptor agonist,AGONIST,104733.0,CHEMBL2094268,Melatonin receptor,1,1,1,Agomelatine behaves both as a potent agonist at melatonin MT1 and MT2 receptors and as a neutral antagonist at 5-HT2C receptors.,"Melatonin receptor MT1, Ki=0.1nM / MT2, Ki=0.12nM 5-HT2C receptor, Ki=631nM"
8209,CHEMBL10878,AGOMELATINE,6886,Serotonin 2c (5-HT2c) receptor antagonist,ANTAGONIST,108.0,CHEMBL225,5-hydroxytryptamine receptor 2C,1,1,1,Agomelatine behaves both as a potent agonist at melatonin MT1 and MT2 receptors and as a neutral antagonist at 5-HT2C receptors.,"Melatonin receptor MT1, Ki=0.1nM / MT2, Ki=0.12nM 5-HT2C receptor, Ki=631nM"
621308,CHEMBL1089221,BENDAZAC,6206,Xanthine dehydrogenase inhibitor,INHIBITOR,149.0,CHEMBL1929,Xanthine dehydrogenase/oxidase,1,1,1,"Bendazac has anti-inflammatory, antinecrotic, choleretic and antilipidaemic properties, but its principal effect is to inhibit the denaturation of proteins. It protects lens proteins from denaturation, aggregation and precipitation in the medical treatment of senile cataract. Inhibits xanthine oxidase (XO) but not xanthine dehydrogenase (XDH). The oxidation of -SH groups near the active center, during the conversion of XDH to reversible XO, produces a conformational modification which allows bendazac to bind to reversible XO inhibiting the enzyme activity. The lysine salt is better absorbed than the parent compound after oral administration.",
622408,CHEMBL1089318,OPICAPONE,7762,Catechol O-methyltransferase inhibitor,INHIBITOR,91.0,CHEMBL2023,Catechol O-methyltransferase,1,1,1,"Selective and reversible inhibitor of COMT. Functions to increase the bioavailability of levodopa by inhibition of COMT, a levodopa metabolizing enzyme.",
15217,CHEMBL109,VALPROIC ACID,392,Succinate semialdehyde dehydrogenase inhibitor,INHIBITOR,283.0,CHEMBL1911,"Succinate-semialdehyde dehydrogenase, mitochondrial",1,1,1,,
149095,CHEMBL1090,VIDARABINE,1474,Human herpesvirus 1 DNA polymerase inhibitor,INHIBITOR,27.0,CHEMBL1872,DNA polymerase catalytic subunit,1,1,1,,
150313,CHEMBL1091,HYDROCORTISONE ACETATE,801,Glucocorticoid receptor agonist,AGONIST,25.0,CHEMBL2034,Glucocorticoid receptor,1,1,1,,
150389,CHEMBL1092,TRIHEXYPHENIDYL HYDROCHLORIDE,280,Muscarinic acetylcholine receptor M1 antagonist,ANTAGONIST,61.0,CHEMBL216,Muscarinic acetylcholine receptor M1,1,1,1,"Indicated for Parkinson's disease, M1 likely responsible",
150451,CHEMBL1094,FELBAMATE,1131,Glutamate [NMDA] receptor antagonist,ANTAGONIST,104706.0,CHEMBL2094124,Glutamate [NMDA] receptor,1,1,1,,
624225,CHEMBL1094636,NIRAPARIB,5681,Poly [ADP-ribose] polymerase 2 inhibitor,INHIBITOR,100933.0,CHEMBL5366,Poly [ADP-ribose] polymerase 2,1,1,1,,IC(50) inhibition PARP2 (2.1 nM)
624225,CHEMBL1094636,NIRAPARIB,5922,Poly [ADP-ribose] polymerase-1 inhibitor,INHIBITOR,11663.0,CHEMBL3105,Poly [ADP-ribose] polymerase 1,1,1,1,,IC(50) inhibition PARP1 (3.8 nM) 
150452,CHEMBL1095,ETHOTOIN,1961,Sodium channel alpha subunit blocker,BLOCKER,105639.0,CHEMBL2331043,Sodium channel alpha subunit,1,1,1,,
626453,CHEMBL1095097,EPLERENONE,656,Mineralocorticoid receptor antagonist,ANTAGONIST,48.0,CHEMBL1994,Mineralocorticoid receptor,1,1,1,,
624251,CHEMBL1095292,BRETYLIUM TOSYLATE,883,Norepinephrine transporter substrate,SUBSTRATE,100.0,CHEMBL222,Sodium-dependent noradrenaline transporter,1,1,1,Taken up by transporter and displaces NE from vesicles,
624296,CHEMBL1095930,CEFUROXIME AXETIL,1688,Bacterial penicillin-binding protein inhibitor,INHIBITOR,105683.0,CHEMBL2354204,Bacterial penicillin-binding protein,1,1,1,,
150549,CHEMBL1096,AMLEXANOX,1060,Phosphodiesterase 4 inhibitor,INHIBITOR,104679.0,CHEMBL2093863,Phosphodiesterase 4,1,1,1,,
628156,CHEMBL1096146,PONESIMOD,5008,Sphingosine 1-phosphate receptor Edg-1 agonist,AGONIST,11631.0,CHEMBL4333,Sphingosine 1-phosphate receptor 1,1,1,1,,
624161,CHEMBL1096882,FLUDARABINE PHOSPHATE,1261,Ribonucleoside-diphosphate reductase RR1 inhibitor,INHIBITOR,104791.0,CHEMBL2095215,Ribonucleoside-diphosphate reductase RR1,1,1,1,,
624161,CHEMBL1096882,FLUDARABINE PHOSPHATE,1917,DNA polymerase (alpha/delta/epsilon) inhibitor,INHIBITOR,105737.0,CHEMBL2363042,DNA polymerase (alpha/delta/epsilon),1,1,1,,
624185,CHEMBL1096885,VALRUBICIN,104,DNA topoisomerase II alpha inhibitor,INHIBITOR,63.0,CHEMBL1806,DNA topoisomerase 2-alpha,1,1,1,,
624185,CHEMBL1096885,VALRUBICIN,1890,DNA inhibitor,INHIBITOR,105574.0,CHEMBL2311221,DNA,1,1,1,,
626138,CHEMBL1097279,CANGRELOR TETRASODIUM,2342,Purinergic receptor P2Y12 antagonist,ANTAGONIST,176.0,CHEMBL2001,P2Y purinoceptor 12,1,1,1,,
150882,CHEMBL1098,BUPIVACAINE,869,Sodium channel protein type IV alpha subunit blocker,BLOCKER,18043.0,CHEMBL2072,Sodium channel protein type 4 subunit alpha,1,1,1,,
150989,CHEMBL1100,PARAMETHADIONE,2097,Voltage-gated T-type calcium channel blocker,BLOCKER,105707.0,CHEMBL2362995,Voltage-gated T-type calcium channel,1,1,1,,
151300,CHEMBL1102,GLUTETHIMIDE,1605,GABA-A receptor; anion channel positive modulator,POSITIVE MODULATOR,104688.0,CHEMBL2093872,GABA-A receptor; anion channel,1,1,1,,
151310,CHEMBL1103,FURAZOLIDONE,1829,DNA inhibitor,INHIBITOR,106020.0,CHEMBL2364041,DNA,1,1,1,Promotes inter-strand DNA cross-linking,
178290,CHEMBL110458,MIGALASTAT,6931,Alpha-galactosidase A stabiliser,STABILISER,10693.0,CHEMBL2524,Alpha-galactosidase A,1,1,1,"Migalastat binds to the active site of alpha-galactosidase A, deficient in Fabry disease, stabilising the protein or protein variant enabling trafficking to the lysosome and enzyme activity. ",Binds alpha-galactosidase A and variants.
182928,CHEMBL110691,CHLORMADINONE ACETATE,6219,Progesterone receptor modulator,MODULATOR,36.0,CHEMBL208,Progesterone receptor,1,1,1,"Chlormadinone acetate (CMA) shows high affinity and activity at the progesterone receptor. It has an anti-estrogenic effect and, in contrast to natural progesterone, shows moderate anti-androgenic properties. CMA acts by blocking androgen receptors in target organs and by reducing the activity of skin 5alpha-reductase. It suppresses gonadotropin secretion and thereby reduces ovarian and adrenal androgen production.","Chlormadinone acetate has a strong affinity for the progesterone receptor, one-third higher than natural progesterone."
152751,CHEMBL1108,DROPERIDOL,584,Serotonin 2a (5-HT2a) receptor antagonist,ANTAGONIST,107.0,CHEMBL224,5-hydroxytryptamine receptor 2A,1,1,1,,
152751,CHEMBL1108,DROPERIDOL,2011,D2-like dopamine receptor antagonist,ANTAGONIST,105671.0,CHEMBL2331075,D2-like dopamine receptor,1,1,1,,
153330,CHEMBL1109,SULFAPHENAZOLE,1655,Bacterial dihydropteroate synthase inhibitor,INHIBITOR,106168.0,CHEMBL2364668,Dihydropteroate synthase,1,1,1,,Broad spectrum
16088,CHEMBL111,RIMONABANT,6296,Cannabinoid CB1 receptor antagonist,ANTAGONIST,87.0,CHEMBL218,Cannabinoid receptor 1,1,1,1,"Rimonabant, a selective cannabinoid CB1 receptor antagonist, given systemically reduces the increase of the concentration of dopamine in the dialysate from the shell of the nucleus accumbens, which occurs when rats are exposed to novel high palatable foods.",
154051,CHEMBL1111,AMBRISENTAN,1041,"Endothelin receptor, ET-A/ET-B antagonist",ANTAGONIST,104833.0,CHEMBL2096678,"Endothelin receptor, ET-A/ET-B",1,1,1,,
155006,CHEMBL1112,ARIPIPRAZOLE,205,Dopamine D2 receptor partial agonist,PARTIAL AGONIST,72.0,CHEMBL217,D(2) dopamine receptor,1,1,1,,
155006,CHEMBL1112,ARIPIPRAZOLE,472,Serotonin 1a (5-HT1a) receptor partial agonist,PARTIAL AGONIST,51.0,CHEMBL214,5-hydroxytryptamine receptor 1A,1,1,1,,
155006,CHEMBL1112,ARIPIPRAZOLE,585,Serotonin 2a (5-HT2a) receptor antagonist,ANTAGONIST,107.0,CHEMBL224,5-hydroxytryptamine receptor 2A,1,1,1,,
155045,CHEMBL1113,AMOXAPINE,407,Serotonin transporter inhibitor,INHIBITOR,121.0,CHEMBL228,Sodium-dependent serotonin transporter,1,1,1,,
155045,CHEMBL1113,AMOXAPINE,899,Norepinephrine transporter inhibitor,INHIBITOR,100.0,CHEMBL222,Sodium-dependent noradrenaline transporter,1,1,1,,
155045,CHEMBL1113,AMOXAPINE,1152,Dopamine receptor antagonist,ANTAGONIST,104842.0,CHEMBL2096905,Dopamine receptor,1,1,1,,
158276,CHEMBL1116,RALOXIFENE HYDROCHLORIDE,649,Estrogen receptor beta modulator,MODULATOR,174.0,CHEMBL242,Estrogen receptor beta,1,1,1,Mixed agonist/antagonist,
161281,CHEMBL1118,DESVENLAFAXINE,393,Serotonin transporter inhibitor,INHIBITOR,121.0,CHEMBL228,Sodium-dependent serotonin transporter,1,1,1,,
161281,CHEMBL1118,DESVENLAFAXINE,876,Norepinephrine transporter inhibitor,INHIBITOR,100.0,CHEMBL222,Sodium-dependent noradrenaline transporter,1,1,1,,
16450,CHEMBL112,ACETAMINOPHEN,1172,Cyclooxygenase inhibitor,INHIBITOR,104725.0,CHEMBL2094253,Cyclooxygenase,1,1,1,,
16450,CHEMBL112,ACETAMINOPHEN,2226,Anandamide amidohydrolase inhibitor,INHIBITOR,11291.0,CHEMBL2243,Fatty-acid amide hydrolase 1,1,1,1,"FAAH converts acetaminophen into the active metabolite AM404, but this conversion also competes with degradation of anandamide increasing its concentration and effects",
16450,CHEMBL112,ACETAMINOPHEN,2227,Vanilloid receptor opener,OPENER,10260.0,CHEMBL4794,Transient receptor potential cation channel subfamily V member 1,1,1,1,"Active metabolite, AM404, activates vanilloid receptor (TRPV1)",
161649,CHEMBL1120,BISMUTH SUBSALICYLATE,1182,Cyclooxygenase inhibitor,INHIBITOR,104725.0,CHEMBL2094253,Cyclooxygenase,1,1,1,,
164064,CHEMBL1121,SINCALIDE,9406,Cholecystokinin A receptor agonist,AGONIST,10472.0,CHEMBL1901,Cholecystokinin receptor type A,1,1,1,,
167260,CHEMBL1126,PENICILLIN G SODIUM,1730,Bacterial penicillin-binding protein inhibitor,INHIBITOR,105683.0,CHEMBL2354204,Bacterial penicillin-binding protein,1,1,1,,
167875,CHEMBL1128,EDROPHONIUM CHLORIDE,743,Acetylcholinesterase inhibitor,INHIBITOR,93.0,CHEMBL220,Acetylcholinesterase,1,1,1,,
169321,CHEMBL1129,TRIFLURIDINE,1930,DNA inhibitor,INHIBITOR,106215.0,CHEMBL2366042,DNA,1,1,1,"Virustatic antimetabolites; recent studies indicate its role as an anti-cancer (pmid: 6436227, 18600528)",
16485,CHEMBL113,CAFFEINE,1214,Adenosine receptor antagonist,ANTAGONIST,105024.0,CHEMBL2111329,Adenosine receptor,1,1,1,,
169652,CHEMBL1131,ACITRETIN,1578,Retinoid receptor agonist,AGONIST,105766.0,CHEMBL2363071,Retinoid receptor,1,1,1,Precise mechanism uncertain. RARG/RXRA are predominant forms in skin,
170395,CHEMBL1133,OXYBUTYNIN CHLORIDE,49,Muscarinic acetylcholine receptor M3 antagonist,ANTAGONIST,219.0,CHEMBL245,Muscarinic acetylcholine receptor M3,1,1,1,"Indicated for overactive bladder, M3 likely responsible",
170395,CHEMBL1133,OXYBUTYNIN CHLORIDE,1514,Muscarinic acetylcholine receptor M2 antagonist,ANTAGONIST,47.0,CHEMBL211,Muscarinic acetylcholine receptor M2,1,1,1,"Indicated for overactive bladder, M2 likely responsible",
171062,CHEMBL1134,DECAMETHONIUM BROMIDE,1527,Muscle-type nicotinic acetylcholine receptor partial agonist,PARTIAL AGONIST,105709.0,CHEMBL2362997,Muscle-type nicotinic acetylcholine receptor,1,1,1,depolarizing,
8633,CHEMBL11359,CISPLATIN,1872,DNA inhibitor,INHIBITOR,105574.0,CHEMBL2311221,DNA,1,1,1,,
171587,CHEMBL1136,TELITHROMYCIN,1766,Bacterial 70S ribosome inhibitor,INHIBITOR,105830.0,CHEMBL2363135,Bacterial 70S ribosome,1,1,1,,
175106,CHEMBL1138,EZETIMIBE,1377,Niemann-Pick C1-like protein 1 inhibitor,INHIBITOR,329.0,CHEMBL2027,NPC1-like intracellular cholesterol transporter 1,1,1,1,,
17169,CHEMBL114,SAQUINAVIR,1495,Human immunodeficiency virus type 1 protease inhibitor,INHIBITOR,191.0,CHEMBL243,Human immunodeficiency virus type 1 protease,1,1,1,,
180329,CHEMBL1148,TORSEMIDE,339,Sodium-(potassium)-chloride cotransporter 2 inhibitor,INHIBITOR,167.0,CHEMBL1874,Solute carrier family 12 member 1,1,1,1,,
182546,CHEMBL1152,PREDNISOLONE ACETATE,811,Glucocorticoid receptor agonist,AGONIST,25.0,CHEMBL2034,Glucocorticoid receptor,1,1,1,,
641189,CHEMBL1159650,CLOBETASOL PROPIONATE,768,Glucocorticoid receptor agonist,AGONIST,25.0,CHEMBL2034,Glucocorticoid receptor,1,1,1,,
17347,CHEMBL116,AMPRENAVIR,1493,Human immunodeficiency virus type 1 protease inhibitor,INHIBITOR,191.0,CHEMBL243,Human immunodeficiency virus type 1 protease,1,1,1,,
187696,CHEMBL1161,MOMETASONE FUROATE,802,Glucocorticoid receptor agonist,AGONIST,25.0,CHEMBL2034,Glucocorticoid receptor,1,1,1,,
187962,CHEMBL1162,NORETHINDRONE,1015,Progesterone receptor agonist,AGONIST,36.0,CHEMBL208,Progesterone receptor,1,1,1,,
647206,CHEMBL1164729,FEBUXOSTAT,438,Xanthine dehydrogenase inhibitor,INHIBITOR,149.0,CHEMBL1929,Xanthine dehydrogenase/oxidase,1,1,1,,
188815,CHEMBL1166,ARGATROBAN,78,Thrombin inhibitor,INHIBITOR,11.0,CHEMBL204,Prothrombin,1,1,1,,
9623,CHEMBL11662,OZAGREL,7616,Thromboxane-A synthase inhibitor,INHIBITOR,248.0,CHEMBL1835,Thromboxane-A synthase,1,1,1,,
189203,CHEMBL1168,RAMIPRIL,110,Angiotensin-converting enzyme inhibitor,INHIBITOR,69.0,CHEMBL1808,Angiotensin-converting enzyme,1,1,1,,
190484,CHEMBL1169,AMINOSALICYLIC ACID,5874,Dihydrofolate reductase inhibitor,INHIBITOR,102873.0,CHEMBL6065,Dihydrofolate reductase,1,1,1,"PAS is incorporated into the folate pathway by dihydropteroate synthase (DHPS) and dihydrofolate synthase (DHFS) to generate a hydroxyl dihydrofolate antimetabolite, which in turn inhibits DHFR enzymatic activity. Mechanism in Crohn's disease/ulcerative colitis may be through PPAR-gamma/NF-kappa-B inhibition",
190629,CHEMBL1170,TESTOSTERONE PROPIONATE,1324,Androgen Receptor agonist,AGONIST,56.0,CHEMBL1871,Androgen receptor,1,1,1,,
191342,CHEMBL1172,DESLORATADINE,161,Histamine H1 receptor antagonist,ANTAGONIST,127.0,CHEMBL231,Histamine H1 receptor,1,1,1,,
191172,CHEMBL117287,PRUCALOPRIDE,5624,Serotonin 4 (5-HT4) receptor agonist,AGONIST,168.0,CHEMBL1875,5-hydroxytryptamine receptor 4,1,1,1,Facilitates acetylcholine release and stimulates colonic peristalsis.,Selective for 5-HT4.
651088,CHEMBL1173055,RUCAPARIB,5674,"PARP 1, 2 and 3 inhibitor",INHIBITOR,109545.0,CHEMBL3390820,"PARP 1, 2 and 3",1,1,1,,
191902,CHEMBL1174,EPTIFIBATIDE,1078,Integrin alpha-IIb/beta-3 inhibitor,INHIBITOR,104685.0,CHEMBL2093869,Integrin alpha-IIb/beta-3,1,1,1,,
193281,CHEMBL117785,TETRABENAZINE,1481,Synaptic vesicular amine transporter inhibitor,INHIBITOR,162.0,CHEMBL1893,Synaptic vesicular amine transporter,1,1,1,,
18694,CHEMBL118,CELECOXIB,1462,Cyclooxygenase-2 inhibitor,INHIBITOR,126.0,CHEMBL230,Prostaglandin G/H synthase 2,1,1,1,,
195974,CHEMBL1184,ACETYLCHOLINE CHLORIDE,40,Muscarinic acetylcholine receptor M3 agonist,AGONIST,219.0,CHEMBL245,Muscarinic acetylcholine receptor M3,1,1,1,"Indicated for miosis, M3 likely involved (main form in iris)",
196215,CHEMBL1185,ZOLMITRIPTAN,364,Serotonin 1b (5-HT1b) receptor agonist,AGONIST,106.0,CHEMBL1898,5-hydroxytryptamine receptor 1B,1,1,1,,
196215,CHEMBL1185,ZOLMITRIPTAN,570,Serotonin 1d (5-HT1d) receptor agonist,AGONIST,105.0,CHEMBL1983,5-hydroxytryptamine receptor 1D,1,1,1,,
204115,CHEMBL1191,SULFAMETHIZOLE,1663,Bacterial dihydropteroate synthase inhibitor,INHIBITOR,106168.0,CHEMBL2364668,Dihydropteroate synthase,1,1,1,,Broad spectrum
208749,CHEMBL1194,PRILOCAINE,1966,Sodium channel alpha subunit blocker,BLOCKER,105639.0,CHEMBL2331043,Sodium channel alpha subunit,1,1,1,,
721,CHEMBL12,DIAZEPAM,1592,GABA-A receptor; anion channel positive allosteric modulator,POSITIVE ALLOSTERIC MODULATOR,104688.0,CHEMBL2093872,GABA-A receptor; anion channel,1,1,1,,
674272,CHEMBL1200321,SULFISOXAZOLE DIOLAMINE,1654,Bacterial dihydropteroate synthase inhibitor,INHIBITOR,106168.0,CHEMBL2364668,Dihydropteroate synthase,1,1,1,,Broad spectrum
674273,CHEMBL1200322,ESCITALOPRAM OXALATE,395,Serotonin transporter inhibitor,INHIBITOR,121.0,CHEMBL228,Sodium-dependent serotonin transporter,1,1,1,reuptake inhibitor,
674274,CHEMBL1200323,LABETALOL HYDROCHLORIDE,1996,Adrenergic receptor antagonist,ANTAGONIST,105670.0,CHEMBL2331074,Adrenergic receptor,1,1,1,,
674277,CHEMBL1200326,NICARDIPINE HYDROCHLORIDE,1279,Voltage-gated L-type calcium channel blocker,BLOCKER,104801.0,CHEMBL2095229,Voltage-gated L-type calcium channel,1,1,1,,
674279,CHEMBL1200328,DULOXETINE HYDROCHLORIDE,409,Serotonin transporter inhibitor,INHIBITOR,121.0,CHEMBL228,Sodium-dependent serotonin transporter,1,1,1,,
674279,CHEMBL1200328,DULOXETINE HYDROCHLORIDE,901,Norepinephrine transporter inhibitor,INHIBITOR,100.0,CHEMBL222,Sodium-dependent noradrenaline transporter,1,1,1,,
674280,CHEMBL1200329,TIZANIDINE HYDROCHLORIDE,1140,Adrenergic receptor alpha-2 agonist,AGONIST,104743.0,CHEMBL2095158,Adrenergic receptor alpha-2,1,1,1,,
