drug_internal_id,drug_id,drug_name,protein_internal_id,protein_id,protein_name,pchembl_max,pchembl_avg,best_value,num_measurements,confidence
13494,CHEMBL104,CLOTRIMAZOLE,12594,CHEMBL3356,Cytochrome P450 1A2,5.9,5.9,1250.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,11398,CHEMBL4302,ATP-dependent translocase ABCB1,5.89,5.89,1300.0,1,8
13494,CHEMBL104,CLOTRIMAZOLE,103079,CHEMBL1075145,Transitional endoplasmic reticulum ATPase,5.85,5.85,1400.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,25,CHEMBL2034,Glucocorticoid receptor,5.83,5.83,1481.0,1,8
13494,CHEMBL104,CLOTRIMAZOLE,10579,CHEMBL2414,C-C chemokine receptor type 4,5.8,5.8,1600.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,214,CHEMBL1821,Muscarinic acetylcholine receptor M4,5.79,5.79,1640.0,1,8
13494,CHEMBL104,CLOTRIMAZOLE,61,CHEMBL216,Muscarinic acetylcholine receptor M1,5.78,5.78,1654.0,1,8
13494,CHEMBL104,CLOTRIMAZOLE,136,CHEMBL236,Delta-type opioid receptor,5.76,5.76,1755.0,1,8
13494,CHEMBL104,CLOTRIMAZOLE,11574,CHEMBL4029,C-X-C chemokine receptor type 1,5.7,5.7,1995.26,2,9
13494,CHEMBL104,CLOTRIMAZOLE,219,CHEMBL245,Muscarinic acetylcholine receptor M3,5.68,5.68,2104.0,1,8
13494,CHEMBL104,CLOTRIMAZOLE,112,CHEMBL1790,Vasopressin V2 receptor,5.6,5.58,2511.89,2,9
13494,CHEMBL104,CLOTRIMAZOLE,280,CHEMBL256,Adenosine receptor A3,5.57,5.54,2686.0,2,8
13494,CHEMBL104,CLOTRIMAZOLE,11912,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,5.57,5.57,2700.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,165,CHEMBL240,Voltage-gated inwardly rectifying potassium channel KCNH2,5.52,5.52,3019.95,1,9
13494,CHEMBL104,CLOTRIMAZOLE,103516,CHEMBL1250402,Transient receptor potential cation channel subfamily M member 2,5.52,5.52,3000.0,1,9
13494,CHEMBL104,CLOTRIMAZOLE,121,CHEMBL228,Sodium-dependent serotonin transporter,5.51,5.51,3060.0,1,8
13494,CHEMBL104,CLOTRIMAZOLE,107,CHEMBL224,5-hydroxytryptamine receptor 2A,5.5,5.5,3183.0,1,8
125261,CHEMBL1040,CALCIFEDIOL ANHYDROUS,119911,CHEMBL4630818,Sterol regulatory element-binding protein 1,5.93,5.93,1176.0,1,9
125294,CHEMBL1042,CHOLECALCIFEROL,64,CHEMBL1977,Vitamin D3 receptor,9.68,8.37,0.21,2,9
125294,CHEMBL1042,CHOLECALCIFEROL,102688,CHEMBL5845,Glycine receptor subunit alpha-1,6.4,6.4,400.0,1,9
126356,CHEMBL1043,DAPSONE,10627,CHEMBL3371,5-hydroxytryptamine receptor 6,6.74,6.74,183.0,1,9
126356,CHEMBL1043,DAPSONE,10567,CHEMBL2439,Myeloperoxidase,6.38,6.38,420.0,1,9
126356,CHEMBL1043,DAPSONE,12911,CHEMBL3397,Cytochrome P450 2C9,6.1,6.1,794.3,1,9
126356,CHEMBL1043,DAPSONE,103668,CHEMBL1293235,Prelamin-A/C,5.85,5.85,1412.5,1,9
127755,CHEMBL1046,AMINOCAPROIC ACID,12054,CHEMBL2903,Polyunsaturated fatty acid lipoxygenase ALOX15,8.3,8.3,5.0,1,9
127755,CHEMBL1046,AMINOCAPROIC ACID,271,CHEMBL1947,Thyroid hormone receptor beta,6.4,6.4,398.1,1,9
127755,CHEMBL1046,AMINOCAPROIC ACID,103668,CHEMBL1293235,Prelamin-A/C,5.9,5.9,1258.9,1,9
134100,CHEMBL1054,TRICHLORMETHIAZIDE,11060,CHEMBL2326,Carbonic anhydrase 7,8.1,8.1,7.9,1,9
134100,CHEMBL1054,TRICHLORMETHIAZIDE,12952,CHEMBL3594,Carbonic anhydrase 9,7.06,7.06,87.0,1,9
134100,CHEMBL1054,TRICHLORMETHIAZIDE,15,CHEMBL205,Carbonic anhydrase 2,7.04,6.13,91.0,3,9
134100,CHEMBL1054,TRICHLORMETHIAZIDE,11016,CHEMBL3969,"Carbonic anhydrase 5B, mitochondrial",6.87,6.87,134.0,1,9
134100,CHEMBL1054,TRICHLORMETHIAZIDE,12209,CHEMBL3242,Carbonic anhydrase 12,6.51,6.51,312.0,1,9
134100,CHEMBL1054,TRICHLORMETHIAZIDE,10193,CHEMBL261,Carbonic anhydrase 1,6.46,6.46,345.0,1,9
134100,CHEMBL1054,TRICHLORMETHIAZIDE,12896,CHEMBL3729,Carbonic anhydrase 4,6.35,6.35,449.0,1,9
134100,CHEMBL1054,TRICHLORMETHIAZIDE,11042,CHEMBL4789,"Carbonic anhydrase 5A, mitochondrial",6.12,6.12,763.0,1,9
134100,CHEMBL1054,TRICHLORMETHIAZIDE,10186,CHEMBL3025,Carbonic anhydrase 6,5.61,5.61,2459.0,1,9
134333,CHEMBL1055,CHLORTHALIDONE,11060,CHEMBL2326,Carbonic anhydrase 7,8.55,8.55,2.8,1,9
134333,CHEMBL1055,CHLORTHALIDONE,12209,CHEMBL3242,Carbonic anhydrase 12,8.35,8.35,4.5,1,9
134333,CHEMBL1055,CHLORTHALIDONE,11016,CHEMBL3969,"Carbonic anhydrase 5B, mitochondrial",8.05,8.05,9.0,1,9
134333,CHEMBL1055,CHLORTHALIDONE,12952,CHEMBL3594,Carbonic anhydrase 9,7.64,7.64,23.0,1,9
134333,CHEMBL1055,CHLORTHALIDONE,15,CHEMBL205,Carbonic anhydrase 2,6.86,6.52,138.0,2,9
134333,CHEMBL1055,CHLORTHALIDONE,12896,CHEMBL3729,Carbonic anhydrase 4,6.71,6.71,196.0,1,9
134333,CHEMBL1055,CHLORTHALIDONE,10193,CHEMBL261,Carbonic anhydrase 1,6.58,6.52,260.0,2,9
134333,CHEMBL1055,CHLORTHALIDONE,11042,CHEMBL4789,"Carbonic anhydrase 5A, mitochondrial",6.04,6.04,917.0,1,9
134333,CHEMBL1055,CHLORTHALIDONE,10186,CHEMBL3025,Carbonic anhydrase 6,5.87,5.87,1347.0,1,9
134966,CHEMBL1057,FLUORESCEIN,103069,CHEMBL1075138,Tyrosyl-DNA phosphodiesterase 1,8.05,7.95,8.9,4,9
134966,CHEMBL1057,FLUORESCEIN,101216,CHEMBL5514,Huntingtin,7.5,7.5,31.6,1,9
134966,CHEMBL1057,FLUORESCEIN,103657,CHEMBL1293224,Microtubule-associated protein tau,6.45,6.33,354.8,2,9
134966,CHEMBL1057,FLUORESCEIN,12912,CHEMBL3622,Cytochrome P450 2C19,6.04,6.04,907.4,1,8
136161,CHEMBL1059,PREGABALIN,150,CHEMBL1919,Voltage-dependent calcium channel subunit alpha-2/delta-1,7.72,7.72,19.0,2,9
136161,CHEMBL1059,PREGABALIN,11959,CHEMBL3896,Voltage-dependent calcium channel subunit alpha-2/delta-2,7.0,7.0,99.0,1,9
13758,CHEMBL106,FLUCONAZOLE,103668,CHEMBL1293235,Prelamin-A/C,6.3,6.3,501.2,1,9
138562,CHEMBL1064,SIMVASTATIN,24,CHEMBL402,3-hydroxy-3-methylglutaryl-coenzyme A reductase,9.05,8.01,0.9,8,9
138562,CHEMBL1064,SIMVASTATIN,11180,CHEMBL2047,Bile acid receptor,6.24,6.24,570.0,1,8
138562,CHEMBL1064,SIMVASTATIN,100997,CHEMBL5503,Nuclear receptor subfamily 1 group I member 3,6.24,6.24,570.0,1,8
138562,CHEMBL1064,SIMVASTATIN,88,CHEMBL2056,D(1A) dopamine receptor,5.75,5.75,1800.0,1,8
138562,CHEMBL1064,SIMVASTATIN,11912,CHEMBL3401,Nuclear receptor subfamily 1 group I member 2,5.66,5.66,2196.0,1,8
138562,CHEMBL1064,SIMVASTATIN,107,CHEMBL224,5-hydroxytryptamine receptor 2A,5.64,5.64,2300.0,1,8
138605,CHEMBL1065,METHYSERGIDE,227,CHEMBL1833,5-hydroxytryptamine receptor 2B,9.45,8.6,0.358,7,9
138605,CHEMBL1065,METHYSERGIDE,108,CHEMBL225,5-hydroxytryptamine receptor 2C,8.96,8.58,1.093,4,9
138605,CHEMBL1065,METHYSERGIDE,107,CHEMBL224,5-hydroxytryptamine receptor 2A,8.8,8.01,1.585,6,9
138605,CHEMBL1065,METHYSERGIDE,10209,CHEMBL3155,5-hydroxytryptamine receptor 7,7.9,7.5,12.59,2,9
138605,CHEMBL1065,METHYSERGIDE,130,CHEMBL234,D(3) dopamine receptor,7.23,6.79,59.0,3,8
138605,CHEMBL1065,METHYSERGIDE,10627,CHEMBL3371,5-hydroxytryptamine receptor 6,7.12,6.96,75.0,2,8
138605,CHEMBL1065,METHYSERGIDE,51,CHEMBL214,5-hydroxytryptamine receptor 1A,6.77,6.73,170.0,3,8
138605,CHEMBL1065,METHYSERGIDE,72,CHEMBL217,D(2) dopamine receptor,6.57,6.39,269.0,3,8
138605,CHEMBL1065,METHYSERGIDE,88,CHEMBL2056,D(1A) dopamine receptor,6.33,6.05,472.0,3,8
138605,CHEMBL1065,METHYSERGIDE,52,CHEMBL1867,Alpha-2A adrenergic receptor,6.21,5.87,611.0,3,8
138605,CHEMBL1065,METHYSERGIDE,125,CHEMBL229,Alpha-1A adrenergic receptor,6.06,6.06,880.0,1,8
138605,CHEMBL1065,METHYSERGIDE,11272,CHEMBL287,Sigma non-opioid intracellular receptor 1,6.04,6.04,912.01,1,8
138605,CHEMBL1065,METHYSERGIDE,216,CHEMBL1942,Alpha-2B adrenergic receptor,5.66,5.66,2175.0,1,8
138605,CHEMBL1065,METHYSERGIDE,102,CHEMBL1941,Histamine H2 receptor,5.61,5.58,2437.2,2,8
138605,CHEMBL1065,METHYSERGIDE,11130,CHEMBL3577,Aldehyde dehydrogenase 1A1,5.5,5.5,3162.3,1,9
139045,CHEMBL1069,VALSARTAN,115,CHEMBL227,Type-1 angiotensin II receptor,8.57,8.41,2.7,3,9
14440,CHEMBL107,COLCHICINE,103668,CHEMBL1293235,Prelamin-A/C,8.05,7.37,8.9,3,9
14440,CHEMBL107,COLCHICINE,103711,CHEMBL1293278,Geminin,7.4,7.4,39.8,1,9
14440,CHEMBL107,COLCHICINE,104614,CHEMBL2073673,Solute carrier family 22 member 3,6.92,6.92,120.0,1,8
14440,CHEMBL107,COLCHICINE,103689,CHEMBL1293256,Thrombopoietin,6.3,6.3,501.2,2,9
14440,CHEMBL107,COLCHICINE,11365,CHEMBL289,Cytochrome P450 2D6,6.1,6.1,794.3,2,9
14440,CHEMBL107,COLCHICINE,20053,CHEMBL4096,Cellular tumor antigen p53,5.8,5.8,1584.9,1,9
14440,CHEMBL107,COLCHICINE,78,CHEMBL1963,Thyrotropin receptor,5.7,5.7,1995.3,2,9
14440,CHEMBL107,COLCHICINE,103727,CHEMBL1293294,Ras-related protein Rab-9A,5.7,5.7,1995.3,1,9
14440,CHEMBL107,COLCHICINE,17045,CHEMBL340,Cytochrome P450 3A4,5.6,5.6,2511.89,3,9
14440,CHEMBL107,COLCHICINE,101097,CHEMBL5162,Neuropeptide S receptor,5.6,5.6,2511.9,1,9
14440,CHEMBL107,COLCHICINE,12911,CHEMBL3397,Cytochrome P450 2C9,5.5,5.5,3162.28,2,9
139210,CHEMBL1070,NABUMETONE,12594,CHEMBL3356,Cytochrome P450 1A2,6.4,6.4,398.11,1,8
139210,CHEMBL1070,NABUMETONE,103668,CHEMBL1293235,Prelamin-A/C,6.25,6.25,562.3,1,9
139210,CHEMBL1070,NABUMETONE,86,CHEMBL1951,Amine oxidase [flavin-containing] A,6.0,6.0,998.0,1,8
139210,CHEMBL1070,NABUMETONE,100,CHEMBL222,Sodium-dependent noradrenaline transporter,5.73,5.73,1853.0,2,8
139210,CHEMBL1070,NABUMETONE,103710,CHEMBL1293277,NPC intracellular cholesterol transporter 1,5.55,5.55,2818.4,1,9
139210,CHEMBL1070,NABUMETONE,103727,CHEMBL1293294,Ras-related protein Rab-9A,5.55,5.55,2818.4,1,9
139225,CHEMBL1071,OXAPROZIN,107,CHEMBL224,5-hydroxytryptamine receptor 2A,7.08,7.08,83.7,1,8
139225,CHEMBL1071,OXAPROZIN,125,CHEMBL229,Alpha-1A adrenergic receptor,7.03,7.03,92.6,1,8
