drug_internal_id,drug_id,drug_name,effect_id,effect_name,efo_id,efo_term,indication_phase,num_references
116349,CHEMBL1014,CANDESARTAN CILEXETIL,D006333,Heart Failure,EFO:0003144,heart failure,4,1
116349,CHEMBL1014,CANDESARTAN CILEXETIL,D006973,Hypertension,EFO:0000537,hypertension,4,1
116349,CHEMBL1014,CANDESARTAN CILEXETIL,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction,4,1
116349,CHEMBL1014,CANDESARTAN CILEXETIL,D020521,Stroke,EFO:0000712,stroke,4,1
116949,CHEMBL1017,TELMISARTAN,D002318,Cardiovascular Diseases,EFO:0000319,cardiovascular disease,4,1
116949,CHEMBL1017,TELMISARTAN,D003920,Diabetes Mellitus,EFO:0000400,diabetes mellitus,4,1
116949,CHEMBL1017,TELMISARTAN,D006973,Hypertension,EFO:0000537,hypertension,4,1
116949,CHEMBL1017,TELMISARTAN,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction,4,1
116949,CHEMBL1017,TELMISARTAN,D020521,Stroke,EFO:0000712,stroke,4,1
118617,CHEMBL1020,TOLMETIN,D012216,Rheumatic Diseases,EFO:0005755,rheumatic disease,4,1
118617,CHEMBL1020,TOLMETIN,D018771,Arthralgia,HP:0002829,Arthralgia,4,1
118617,CHEMBL1020,TOLMETIN,D063806,Myalgia,HP:0003326,Myalgia,4,1
119162,CHEMBL1021,NEPAFENAC,D002386,Cataract,MONDO:0005129,cataract,4,1
119162,CHEMBL1021,NEPAFENAC,D005128,Eye Diseases,EFO:0005752,eye inflammation,4,1
119162,CHEMBL1021,NEPAFENAC,D007249,Inflammation,MP:0001845,inflammation,4,1
119162,CHEMBL1021,NEPAFENAC,D010149,"Pain, Postoperative",EFO:0003843,pain,4,1
119162,CHEMBL1021,NEPAFENAC,D013508,Ophthalmologic Surgical Procedures,,,4,1
119498,CHEMBL1023,BEXAROTENE,D009369,Neoplasms,EFO:0000616,neoplasm,4,1
119498,CHEMBL1023,BEXAROTENE,D016399,"Lymphoma, T-Cell",MONDO:0015760,T-cell non-Hodgkin lymphoma,4,1
119498,CHEMBL1023,BEXAROTENE,D016410,"Lymphoma, T-Cell, Cutaneous",EFO:0002913,Cutaneous T-cell lymphoma,4,1
119640,CHEMBL1024,IFOSFAMIDE,D009369,Neoplasms,EFO:0000616,neoplasm,4,1
119640,CHEMBL1024,IFOSFAMIDE,D009369,Neoplasms,MONDO:0004992,cancer,4,1
119640,CHEMBL1024,IFOSFAMIDE,D013736,Testicular Neoplasms,EFO:0004281,testicular neoplasm,4,1
119640,CHEMBL1024,IFOSFAMIDE,D013736,Testicular Neoplasms,EFO:0005088,testicular carcinoma,4,1
119640,CHEMBL1024,IFOSFAMIDE,D013736,Testicular Neoplasms,MONDO:0003510,malignant testicular germ cell tumor,4,1
119717,CHEMBL1025,ISOFLUROPHATE,D005901,Glaucoma,MONDO:0005041,glaucoma,4,1
121124,CHEMBL1026,FENOLDOPAM MESYLATE,D006973,Hypertension,EFO:0000537,hypertension,4,1
122170,CHEMBL1027,TIAGABINE,D004827,Epilepsy,EFO:0000474,epilepsy,4,1
122901,CHEMBL1029,MIGLUSTAT,D005776,Gaucher Disease,MONDO:0018150,Gaucher disease,4,1
122901,CHEMBL1029,MIGLUSTAT,D005776,Gaucher Disease,Orphanet:77259,Gaucher disease type 1,4,1
122901,CHEMBL1029,MIGLUSTAT,D006009,Glycogen Storage Disease Type II,Orphanet:365,Glycogen storage disease due to acid maltase deficiency,4,1
122901,CHEMBL1029,MIGLUSTAT,D009542,Niemann-Pick Diseases,EFO:1001380,Niemann-Pick disease,4,1
12825,CHEMBL103,PROGESTERONE,D000568,Amenorrhea,EFO:0010269,amenorrhea,4,1
12825,CHEMBL103,PROGESTERONE,D004714,Endometrial Hyperplasia,EFO:1000098,Atypical Endometrial Hyperplasia,4,1
12825,CHEMBL103,PROGESTERONE,D014592,Uterine Hemorrhage,MP:0001914,hemorrhage,4,1
123693,CHEMBL1034,DICLOFENAC SODIUM,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis,4,1
123693,CHEMBL1034,DICLOFENAC SODIUM,D004381,Duodenal Ulcer,EFO:0004607,duodenal ulcer,4,1
123693,CHEMBL1034,DICLOFENAC SODIUM,D006470,Hemorrhage,MP:0001914,hemorrhage,4,1
123693,CHEMBL1034,DICLOFENAC SODIUM,D010003,Osteoarthritis,MONDO:0005178,osteoarthritis,4,1
123693,CHEMBL1034,DICLOFENAC SODIUM,D010146,Pain,EFO:0003843,pain,4,1
13494,CHEMBL104,CLOTRIMAZOLE,D000084002,Tinea Cruris,EFO:0007510,tinea,4,1
13494,CHEMBL104,CLOTRIMAZOLE,D002177,Candidiasis,MONDO:0002026,candidiasis,4,1
13494,CHEMBL104,CLOTRIMAZOLE,D007239,Infections,EFO:0000544,infection,4,1
13494,CHEMBL104,CLOTRIMAZOLE,D009181,Mycoses,MONDO:0002041,fungal infectious disease,4,1
13494,CHEMBL104,CLOTRIMAZOLE,D011537,Pruritus,HP:0000989,Pruritus,4,1
13494,CHEMBL104,CLOTRIMAZOLE,D012874,"Skin Diseases, Infectious",MONDO:0021201,skin infection,4,1
13494,CHEMBL104,CLOTRIMAZOLE,D014005,Tinea,EFO:0007510,tinea,4,1
13494,CHEMBL104,CLOTRIMAZOLE,D014008,Tinea Pedis,EFO:0007512,tinea pedis,4,1
125294,CHEMBL1042,CHOLECALCIFEROL,D000740,Anemia,EFO:0004272,anemia (phenotype),4,1
125294,CHEMBL1042,CHOLECALCIFEROL,D010024,Osteoporosis,EFO:0003882,osteoporosis,4,1
125294,CHEMBL1042,CHOLECALCIFEROL,D018798,"Anemia, Iron-Deficiency",HP:0001891,Iron deficiency anemia,4,1
126356,CHEMBL1043,DAPSONE,D000152,Acne Vulgaris,EFO:0003894,acne,4,1
126356,CHEMBL1043,DAPSONE,D003874,Dermatitis Herpetiformis,EFO:1000684,dermatitis herpetiformis,4,1
126356,CHEMBL1043,DAPSONE,D007918,Leprosy,EFO:0001054,leprosy,4,1
127755,CHEMBL1046,AMINOCAPROIC ACID,D006470,Hemorrhage,MP:0001914,hemorrhage,4,1
13590,CHEMBL105,MITOMYCIN,D000230,Adenocarcinoma,EFO:0000228,adenocarcinoma,4,1
13590,CHEMBL105,MITOMYCIN,D005901,Glaucoma,MONDO:0005041,glaucoma,4,1
13590,CHEMBL105,MITOMYCIN,D009369,Neoplasms,EFO:0000616,neoplasm,4,1
13590,CHEMBL105,MITOMYCIN,D009369,Neoplasms,MONDO:0004992,cancer,4,1
132003,CHEMBL1051,LATANOPROST,D005901,Glaucoma,MONDO:0005041,glaucoma,4,1
132003,CHEMBL1051,LATANOPROST,D005902,"Glaucoma, Open-Angle",EFO:0004190,open-angle glaucoma,4,1
132003,CHEMBL1051,LATANOPROST,D006973,Hypertension,EFO:0000537,hypertension,4,1
132003,CHEMBL1051,LATANOPROST,D009798,Ocular Hypertension,EFO:1001069,ocular hypertension,4,1
134100,CHEMBL1054,TRICHLORMETHIAZIDE,D002318,Cardiovascular Diseases,EFO:0000319,cardiovascular disease,4,1
134333,CHEMBL1055,CHLORTHALIDONE,D000787,Angina Pectoris,EFO:0003913,angina pectoris,4,1
134333,CHEMBL1055,CHLORTHALIDONE,D002318,Cardiovascular Diseases,EFO:0000319,cardiovascular disease,4,1
134333,CHEMBL1055,CHLORTHALIDONE,D005921,Glomerulonephritis,MONDO:0002462,glomerulonephritis,4,1
134333,CHEMBL1055,CHLORTHALIDONE,D006333,Heart Failure,EFO:0000373,congestive heart failure,4,1
134333,CHEMBL1055,CHLORTHALIDONE,D006333,Heart Failure,EFO:0003144,heart failure,4,1
134333,CHEMBL1055,CHLORTHALIDONE,D006973,Hypertension,EFO:0000537,hypertension,4,1
134333,CHEMBL1055,CHLORTHALIDONE,D007676,"Kidney Failure, Chronic",EFO:0003884,chronic kidney disease,4,1
134333,CHEMBL1055,CHLORTHALIDONE,D009404,Nephrotic Syndrome,EFO:0004255,nephrotic syndrome,4,1
134333,CHEMBL1055,CHLORTHALIDONE,D014115,Toxemia,EFO:0000668,preeclampsia,4,1
136161,CHEMBL1059,PREGABALIN,D001008,Anxiety Disorders,EFO:0006788,anxiety disorder,4,1
136161,CHEMBL1059,PREGABALIN,D001008,Anxiety Disorders,EFO:1001892,generalized anxiety disorder,4,1
136161,CHEMBL1059,PREGABALIN,D004827,Epilepsy,EFO:0000474,epilepsy,4,1
136161,CHEMBL1059,PREGABALIN,D004827,Epilepsy,HP:0001250,Seizure,4,1
136161,CHEMBL1059,PREGABALIN,D005356,Fibromyalgia,EFO:0005687,fibromyalgia,4,1
136161,CHEMBL1059,PREGABALIN,D009437,Neuralgia,EFO:0005762,neuropathic pain,4,1
136161,CHEMBL1059,PREGABALIN,D009437,Neuralgia,EFO:0009430,neuralgia,4,1
136161,CHEMBL1059,PREGABALIN,D012640,Seizures,HP:0001250,Seizure,4,1
136161,CHEMBL1059,PREGABALIN,D012640,Seizures,HP:0007359,Focal-onset seizure,4,1
136161,CHEMBL1059,PREGABALIN,D013119,Spinal Cord Injuries,EFO:1001919,Spinal cord injury,4,1
13758,CHEMBL106,FLUCONAZOLE,D002177,Candidiasis,MONDO:0002026,candidiasis,4,1
13758,CHEMBL106,FLUCONAZOLE,D002181,"Candidiasis, Vulvovaginal",EFO:0007543,vulvovaginal candidiasis,4,1
13758,CHEMBL106,FLUCONAZOLE,D014552,Urinary Tract Infections,EFO:0003103,urinary tract infection,4,1
13758,CHEMBL106,FLUCONAZOLE,D016919,"Meningitis, Cryptococcal",EFO:0007228,cryptococcal meningitis,4,1
136282,CHEMBL1060,"SODIUM PHOSPHATE, DIBASIC, ANHYDROUS",D003248,Constipation,HP:0002019,Constipation,4,1
138562,CHEMBL1064,SIMVASTATIN,D002318,Cardiovascular Diseases,EFO:0000319,cardiovascular disease,4,1
138562,CHEMBL1064,SIMVASTATIN,D003324,Coronary Artery Disease,EFO:0001645,coronary artery disease,4,1
138562,CHEMBL1064,SIMVASTATIN,D003327,Coronary Disease,EFO:0001645,coronary artery disease,4,1
138562,CHEMBL1064,SIMVASTATIN,D006937,Hypercholesterolemia,HP:0003124,Hypercholesterolemia,4,1
138562,CHEMBL1064,SIMVASTATIN,D006938,Hyperlipoproteinemia Type II,EFO:0004911,familial hypercholesterolemia,4,1
138562,CHEMBL1064,SIMVASTATIN,D006949,Hyperlipidemias,MONDO:0021187,hyperlipidemia,4,1
138562,CHEMBL1064,SIMVASTATIN,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction,4,1
138562,CHEMBL1064,SIMVASTATIN,D009203,Myocardial Infarction,EFO:0008583,acute myocardial infarction,4,1
138562,CHEMBL1064,SIMVASTATIN,D020521,Stroke,EFO:0000712,stroke,4,1
138562,CHEMBL1064,SIMVASTATIN,D050171,Dyslipidemias,HP:0003119,Abnormal circulating lipid concentration,4,1
138605,CHEMBL1065,METHYSERGIDE,D008881,Migraine Disorders,MONDO:0005277,migraine disorder,4,1
139014,CHEMBL1068,OXCARBAZEPINE,D004827,Epilepsy,EFO:0000474,epilepsy,4,1
139014,CHEMBL1068,OXCARBAZEPINE,D012640,Seizures,HP:0001250,Seizure,4,1
139045,CHEMBL1069,VALSARTAN,D002318,Cardiovascular Diseases,EFO:0000319,cardiovascular disease,4,1
139045,CHEMBL1069,VALSARTAN,D003920,Diabetes Mellitus,EFO:0000400,diabetes mellitus,4,1
139045,CHEMBL1069,VALSARTAN,D006333,Heart Failure,EFO:0000373,congestive heart failure,4,1
139045,CHEMBL1069,VALSARTAN,D006333,Heart Failure,EFO:0003144,heart failure,4,1
139045,CHEMBL1069,VALSARTAN,D006973,Hypertension,EFO:0000537,hypertension,4,1
139045,CHEMBL1069,VALSARTAN,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction,4,1
139045,CHEMBL1069,VALSARTAN,D009203,Myocardial Infarction,EFO:0008583,acute myocardial infarction,4,1
139045,CHEMBL1069,VALSARTAN,D018487,"Ventricular Dysfunction, Left",,,4,1
139045,CHEMBL1069,VALSARTAN,D020521,Stroke,EFO:0000712,stroke,4,1
14440,CHEMBL107,COLCHICINE,D006073,Gout,EFO:0004274,gout,4,1
14440,CHEMBL107,COLCHICINE,D010505,Familial Mediterranean Fever,MONDO:0018088,familial Mediterranean fever,4,1
139210,CHEMBL1070,NABUMETONE,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis,4,1
139210,CHEMBL1070,NABUMETONE,D010003,Osteoarthritis,MONDO:0005178,osteoarthritis,4,1
139210,CHEMBL1070,NABUMETONE,D012216,Rheumatic Diseases,EFO:0005755,rheumatic disease,4,1
139225,CHEMBL1071,OXAPROZIN,D001171,"Arthritis, Juvenile",EFO:0002609,juvenile idiopathic arthritis,4,1
139225,CHEMBL1071,OXAPROZIN,D001172,"Arthritis, Rheumatoid",EFO:0000685,rheumatoid arthritis,4,1
139225,CHEMBL1071,OXAPROZIN,D010003,Osteoarthritis,MONDO:0005178,osteoarthritis,4,1
139225,CHEMBL1071,OXAPROZIN,D012216,Rheumatic Diseases,EFO:0005755,rheumatic disease,4,1
139281,CHEMBL1072,BUMETANIDE,D002318,Cardiovascular Diseases,EFO:0000319,cardiovascular disease,4,1
139281,CHEMBL1072,BUMETANIDE,D006333,Heart Failure,EFO:0000373,congestive heart failure,4,1
139281,CHEMBL1072,BUMETANIDE,D006333,Heart Failure,EFO:0003144,heart failure,4,1
139281,CHEMBL1072,BUMETANIDE,D007674,Kidney Diseases,EFO:0003086,kidney disease,4,1
139281,CHEMBL1072,BUMETANIDE,D009404,Nephrotic Syndrome,EFO:0004255,nephrotic syndrome,4,1
139286,CHEMBL1073,GLIPIZIDE,D003920,Diabetes Mellitus,EFO:0000400,diabetes mellitus,4,1
139286,CHEMBL1073,GLIPIZIDE,D003924,"Diabetes Mellitus, Type 2",MONDO:0005148,type 2 diabetes mellitus,4,1
139866,CHEMBL1075,MORICIZINE,D001145,"Arrhythmias, Cardiac",EFO:0004269,cardiac arrhythmia,4,1
614499,CHEMBL1076903,VARENICLINE,D005128,Eye Diseases,EFO:0003966,eye disease,4,1
614499,CHEMBL1076903,VARENICLINE,D014029,Tobacco Use Disorder,EFO:0003768,nicotine dependence,4,1
140107,CHEMBL1077,BROMFENAC,D005128,Eye Diseases,EFO:0005752,eye inflammation,4,1
611647,CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,D002289,"Carcinoma, Non-Small-Cell Lung",EFO:0003060,non-small cell lung carcinoma,4,1
611647,CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,D010190,Pancreatic Neoplasms,EFO:0002618,pancreatic carcinoma,4,1
611647,CHEMBL1079742,ERLOTINIB HYDROCHLORIDE,D010190,Pancreatic Neoplasms,EFO:0003860,pancreatic neoplasm,4,1
15086,CHEMBL108,CARBAMAZEPINE,D001714,Bipolar Disorder,EFO:0009963,bipolar I disorder,4,1
15086,CHEMBL108,CARBAMAZEPINE,D001714,Bipolar Disorder,MONDO:0004985,bipolar disorder,4,1
15086,CHEMBL108,CARBAMAZEPINE,D004827,Epilepsy,EFO:0000474,epilepsy,4,1
15086,CHEMBL108,CARBAMAZEPINE,D004828,"Epilepsies, Partial",EFO:0004263,partial epilepsy,4,1
15086,CHEMBL108,CARBAMAZEPINE,D012640,Seizures,HP:0001250,Seizure,4,1
15086,CHEMBL108,CARBAMAZEPINE,D014277,Trigeminal Neuralgia,EFO:1001219,trigeminal neuralgia,4,1
15086,CHEMBL108,CARBAMAZEPINE,D020435,Glossopharyngeal Nerve Diseases,MONDO:0002639,glossopharyngeal nerve disorder,4,1
143284,CHEMBL1082,AMOXICILLIN,D001424,Bacterial Infections,EFO:0000771,bacterial disease,4,1
143284,CHEMBL1082,AMOXICILLIN,D004381,Duodenal Ulcer,EFO:0004607,duodenal ulcer,4,1
143284,CHEMBL1082,AMOXICILLIN,D006069,Gonorrhea,DOID:7551,gonorrhea,4,1
143284,CHEMBL1082,AMOXICILLIN,D007239,Infections,EFO:0000544,infection,4,1
143284,CHEMBL1082,AMOXICILLIN,D010033,Otitis Media,EFO:0004992,Otitis media,4,1
143284,CHEMBL1082,AMOXICILLIN,D010033,Otitis Media,MONDO:0024330,infectious otitis media,4,1
143284,CHEMBL1082,AMOXICILLIN,D010612,Pharyngitis,MONDO:0002258,pharyngitis,4,1
143284,CHEMBL1082,AMOXICILLIN,D011014,Pneumonia,EFO:0003106,pneumonia,4,1
143284,CHEMBL1082,AMOXICILLIN,D012141,Respiratory Tract Infections,MONDO:0024355,respiratory tract infectious disorder,4,1
143284,CHEMBL1082,AMOXICILLIN,D012852,Sinusitis,EFO:0007486,sinusitis,4,1
143284,CHEMBL1082,AMOXICILLIN,D014069,Tonsillitis,HP:0011110,Recurrent tonsillitis,4,1
143284,CHEMBL1082,AMOXICILLIN,D014069,Tonsillitis,MONDO:0001039,tonsillitis,4,1
143284,CHEMBL1082,AMOXICILLIN,D014552,Urinary Tract Infections,EFO:0003103,urinary tract infection,4,1
143284,CHEMBL1082,AMOXICILLIN,D018461,Soft Tissue Infections,,,4,1
630886,CHEMBL1082407,ENZALUTAMIDE,D009369,Neoplasms,EFO:0000616,neoplasm,4,1
630886,CHEMBL1082407,ENZALUTAMIDE,D009369,Neoplasms,MONDO:0004992,cancer,4,1
630886,CHEMBL1082407,ENZALUTAMIDE,D011471,Prostatic Neoplasms,EFO:0000196,metastatic prostate cancer,4,1
630886,CHEMBL1082407,ENZALUTAMIDE,D011471,Prostatic Neoplasms,EFO:0000673,prostate adenocarcinoma,4,1
630886,CHEMBL1082407,ENZALUTAMIDE,D011471,Prostatic Neoplasms,EFO:0001663,prostate carcinoma,4,1
630886,CHEMBL1082407,ENZALUTAMIDE,D011471,Prostatic Neoplasms,MONDO:0008315,prostate cancer,4,1
630886,CHEMBL1082407,ENZALUTAMIDE,D011471,Prostatic Neoplasms,MONDO:0021259,prostate neoplasm,4,1
631502,CHEMBL1082607,SALMETEROL XINAFOATE,D001249,Asthma,MONDO:0004979,asthma,4,1
631502,CHEMBL1082607,SALMETEROL XINAFOATE,D001250,"Asthma, Exercise-Induced",MONDO:0004979,asthma,4,1
631502,CHEMBL1082607,SALMETEROL XINAFOATE,D001986,Bronchial Spasm,HP:4000007,Bronchoconstriction,4,1
631502,CHEMBL1082607,SALMETEROL XINAFOATE,D004646,Emphysema,EFO:0000464,emphysema,4,1
631502,CHEMBL1082607,SALMETEROL XINAFOATE,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease,4,1
631502,CHEMBL1082607,SALMETEROL XINAFOATE,D029481,"Bronchitis, Chronic",EFO:0006505,chronic bronchitis,4,1
630396,CHEMBL1083385,CLOPIDOGREL BISULFATE,D000789,"Angina, Unstable",EFO:1000985,intermediate coronary syndrome,4,1
630396,CHEMBL1083385,CLOPIDOGREL BISULFATE,D001281,Atrial Fibrillation,EFO:0000275,atrial fibrillation,4,1
630396,CHEMBL1083385,CLOPIDOGREL BISULFATE,D007511,Ischemia,EFO:0000556,ischemia,4,1
630396,CHEMBL1083385,CLOPIDOGREL BISULFATE,D009203,Myocardial Infarction,EFO:0000612,myocardial infarction,4,1
630396,CHEMBL1083385,CLOPIDOGREL BISULFATE,D016491,Peripheral Vascular Diseases,EFO:0003875,peripheral vascular disease,4,1
630396,CHEMBL1083385,CLOPIDOGREL BISULFATE,D020521,Stroke,EFO:0000712,stroke,4,1
630396,CHEMBL1083385,CLOPIDOGREL BISULFATE,D054058,Acute Coronary Syndrome,EFO:0005672,acute coronary syndrome,4,1
630396,CHEMBL1083385,CLOPIDOGREL BISULFATE,D058729,Peripheral Arterial Disease,EFO:0004265,peripheral arterial disease,4,1
630322,CHEMBL1083659,SUVOREXANT,D007319,Sleep Initiation and Maintenance Disorders,EFO:0004698,insomnia,4,1
630439,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,D001145,"Arrhythmias, Cardiac",HP:0004308,Ventricular arrhythmia,4,1
630439,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,D014693,Ventricular Fibrillation,EFO:0004287,ventricular fibrillation,4,1
630439,CHEMBL1083993,AMIODARONE HYDROCHLORIDE,D017180,"Tachycardia, Ventricular",EFO:0005306,ventricular tachycardia,4,1
631810,CHEMBL1084172,VILANTEROL TRIFENATATE,D001249,Asthma,MONDO:0004979,asthma,4,1
631810,CHEMBL1084172,VILANTEROL TRIFENATATE,D004646,Emphysema,EFO:0000464,emphysema,4,1
631810,CHEMBL1084172,VILANTEROL TRIFENATATE,D029424,"Pulmonary Disease, Chronic Obstructive",EFO:0000341,chronic obstructive pulmonary disease,4,1
631810,CHEMBL1084172,VILANTEROL TRIFENATATE,D029481,"Bronchitis, Chronic",EFO:0006505,chronic bronchitis,4,1
147927,CHEMBL1085,ACETOPHENAZINE,D011618,Psychotic Disorders,EFO:0005407,psychosis,4,1
178495,CHEMBL108545,METHYL SALICYLATE,D001168,Arthritis,EFO:0005856,arthritis,4,1
178495,CHEMBL108545,METHYL SALICYLATE,D001416,Back Pain,HP:0003418,Back pain,4,1
178495,CHEMBL108545,METHYL SALICYLATE,D002062,Bursitis,EFO:1000941,frozen shoulder,4,1
178495,CHEMBL108545,METHYL SALICYLATE,D003288,Contusions,,,4,1
178495,CHEMBL108545,METHYL SALICYLATE,D009120,Muscle Cramp,HP:0003394,Muscle spasm,4,1
178495,CHEMBL108545,METHYL SALICYLATE,D010146,Pain,EFO:0003843,pain,4,1
178495,CHEMBL108545,METHYL SALICYLATE,D013180,Sprains and Strains,EFO:0009582,sprain,4,1
178495,CHEMBL108545,METHYL SALICYLATE,D014947,Wounds and Injuries,EFO:0000546,injury,4,1
178495,CHEMBL108545,METHYL SALICYLATE,D052256,Tendinopathy,EFO:1001434,Tendinopathy,4,1
178495,CHEMBL108545,METHYL SALICYLATE,D063806,Myalgia,HP:0003326,Myalgia,4,1
147956,CHEMBL1086,DIBUCAINE,D006484,Hemorrhoids,EFO:0009552,hemorrhoid,4,1
147956,CHEMBL1086,DIBUCAINE,D011537,Pruritus,HP:0000989,Pruritus,4,1
147956,CHEMBL1086,DIBUCAINE,D013471,Sunburn,EFO:0003958,sunburn,4,1
630539,CHEMBL1086440,TRICLABENDAZOLE,D005211,Fascioliasis,EFO:1001324,Fascioliasis,4,1
630539,CHEMBL1086440,TRICLABENDAZOLE,D006373,Helminthiasis,EFO:1001342,Helminthiasis,4,1
8209,CHEMBL10878,AGOMELATINE,D003865,"Depressive Disorder, Major",MONDO:0002009,major depressive disorder,4,1
8209,CHEMBL10878,AGOMELATINE,D003866,Depressive Disorder,MONDO:0002009,major depressive disorder,4,1
8209,CHEMBL10878,AGOMELATINE,D003866,Depressive Disorder,MONDO:0002050,depressive disorder,4,1
148004,CHEMBL1088,MESORIDAZINE,D011618,Psychotic Disorders,EFO:0005407,psychosis,4,1
148018,CHEMBL1089,PHENELZINE,D003866,Depressive Disorder,MONDO:0002009,major depressive disorder,4,1
621308,CHEMBL1089221,BENDAZAC,D005128,Eye Diseases,EFO:0005752,eye inflammation,4,1
621308,CHEMBL1089221,BENDAZAC,D018771,Arthralgia,HP:0002829,Arthralgia,4,1
621308,CHEMBL1089221,BENDAZAC,D063806,Myalgia,HP:0003326,Myalgia,4,1
622408,CHEMBL1089318,OPICAPONE,D010300,Parkinson Disease,MONDO:0005180,Parkinson disease,4,1
15217,CHEMBL109,VALPROIC ACID,D001714,Bipolar Disorder,EFO:0009963,bipolar I disorder,4,1
15217,CHEMBL109,VALPROIC ACID,D001714,Bipolar Disorder,MONDO:0004985,bipolar disorder,4,1
15217,CHEMBL109,VALPROIC ACID,D004827,Epilepsy,EFO:0000474,epilepsy,4,1
15217,CHEMBL109,VALPROIC ACID,D004832,"Epilepsy, Absence",HP:0002121,Generalized non-motor (absence) seizure,4,1
15217,CHEMBL109,VALPROIC ACID,D004832,"Epilepsy, Absence",MONDO:0010826,childhood absence epilepsy,4,1
15217,CHEMBL109,VALPROIC ACID,D012640,Seizures,HP:0001250,Seizure,4,1
15217,CHEMBL109,VALPROIC ACID,D017029,"Epilepsy, Complex Partial",EFO:1000877,complex partial epilepsy,4,1
15217,CHEMBL109,VALPROIC ACID,D028361,Mitochondrial Diseases,MONDO:0044970,mitochondrial disease,4,1
149095,CHEMBL1090,VIDARABINE,D014777,Virus Diseases,EFO:0000763,viral disease,4,1
149095,CHEMBL1090,VIDARABINE,D015817,Eye Infections,EFO:1001888,eye infection,4,1
150313,CHEMBL1091,HYDROCORTISONE ACETATE,D007249,Inflammation,MP:0001845,inflammation,4,1
150313,CHEMBL1091,HYDROCORTISONE ACETATE,D011537,Pruritus,HP:0000989,Pruritus,4,1
